Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-12-15 07:30,TX30,674.24,100,67680,256,0.38,0,313,0.46,-17,-0.03,256,0.26,2
1,Entry short,2025-12-15 07:00,C0|S|MKT|15,676.8,100,67680,256,0.38,0,313,0.46,-17,-0.03,256,0.26,2
2,Exit long,2025-12-16 07:30,TX30,672.08,100,67527,-319,-0.47,0,21,0.03,-439,-0.65,-63,-0.06,2
2,Entry long,2025-12-16 07:00,C0|L|MKT|15,675.27,100,67527,-319,-0.47,0,21,0.03,-439,-0.65,-63,-0.06,2
3,Exit long,2025-12-18 08:00,TX30,674.43,100,67344,99,0.15,0,157,0.23,-35,-0.05,36,0.04,2
3,Entry long,2025-12-18 07:30,C0|L|MKT|15,673.44,100,67344,99,0.15,0,157,0.23,-35,-0.05,36,0.04,2
4,Exit long,2025-12-19 07:30,TX30,675.59,100,67623,-64,-0.09,0,68,0.10,-137,-0.20,-28,-0.03,2
4,Entry long,2025-12-19 07:00,C0|L|MKT|15,676.23,100,67623,-64,-0.09,0,68,0.10,-137,-0.20,-28,-0.03,2
5,Exit long,2025-12-24 07:45,TX30,685.57,100,68541,16,0.02,0,23,0.03,-22,-0.03,-12,-0.01,2
5,Entry long,2025-12-24 07:15,C0|L|MKT|15,685.41,100,68541,16,0.02,0,23,0.03,-22,-0.03,-12,-0.01,2
6,Exit short,2025-12-26 07:45,TX30,686.88,100,68625,-63,-0.09,0,25,0.04,-110,-0.16,-75,-0.07,2
6,Entry short,2025-12-26 07:15,C0|S|MKT|15,686.25,100,68625,-63,-0.09,0,25,0.04,-110,-0.16,-75,-0.07,2
7,Exit short,2025-12-29 07:45,TX30,684.55,100,68346,-109,-0.16,0,0,0.00,-130,-0.19,-184,-0.18,2
7,Entry short,2025-12-29 07:15,C0|S|MKT|15,683.46,100,68346,-109,-0.16,0,0,0.00,-130,-0.19,-184,-0.18,2
8,Exit long,2025-12-30 07:30,TX30,683.29,100,68446,-117,-0.17,0,7,0.01,-134,-0.20,-301,-0.30,2
8,Entry long,2025-12-30 07:00,C0|L|MKT|15,684.46,100,68446,-117,-0.17,0,7,0.01,-134,-0.20,-301,-0.30,2
9,Exit short,2025-12-31 07:45,TX30,681.51,100,68182,31,0.05,0,52,0.08,-20,-0.03,-270,-0.27,2
9,Entry short,2025-12-31 07:15,C0|S|MKT|15,681.82,100,68182,31,0.05,0,52,0.08,-20,-0.03,-270,-0.27,2
10,Exit long,2026-01-02 07:30,TX30,678.81,100,68258,-377,-0.55,0,66,0.10,-459,-0.67,-647,-0.65,2
10,Entry long,2026-01-02 07:00,C0|L|MKT|15,682.58,100,68258,-377,-0.55,0,66,0.10,-459,-0.67,-647,-0.65,2
11,Exit long,2026-01-05 08:00,TX30,684.67,100,68489,-22,-0.03,0,28,0.04,-57,-0.08,-669,-0.67,2
