Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-02-03 07:45,TX30,588.07,100,58113,-694,-1.19,0,57,0.10,-744,-1.28,-694,-0.69,2
1,Entry short,2025-02-03 07:15,C5|S|MKT|15,581.13,100,58113,-694,-1.19,0,57,0.10,-744,-1.28,-694,-0.69,2
2,Exit short,2025-02-24 07:30,TX30,587.87,100,58867,80,0.14,0,223,0.38,-68,-0.12,-614,-0.61,2
2,Entry short,2025-02-24 07:00,C5|S|MKT|15,588.67,100,58867,80,0.14,0,223,0.38,-68,-0.12,-614,-0.61,2
3,Exit short,2025-02-25 07:30,TX30,580.91,100,58523,432,0.74,0,450,0.77,-3,-0.01,-182,-0.18,2
3,Entry short,2025-02-25 07:00,C5|S|MKT|15,585.23,100,58523,432,0.74,0,450,0.77,-3,-0.01,-182,-0.18,2
4,Exit short,2025-02-27 07:30,TX30,585.44,100,58245,-299,-0.51,0,187,0.32,-403,-0.69,-481,-0.48,2
4,Entry short,2025-02-27 07:00,C5|S|MKT|15,582.45,100,58245,-299,-0.51,0,187,0.32,-403,-0.69,-481,-0.48,2
5,Exit short,2025-03-04 07:30,TX30,564.86,100,56600,114,0.20,0,339,0.60,-47,-0.08,-367,-0.37,2
5,Entry short,2025-03-04 07:00,C5|S|MKT|15,566,100,56600,114,0.20,0,339,0.60,-47,-0.08,-367,-0.37,2
6,Exit short,2025-03-11 07:45,TX30,545.91,100,54860,269,0.49,0,388,0.71,-85,-0.15,-98,-0.10,2
6,Entry short,2025-03-11 07:15,C5|S|MKT|15,548.6,100,54860,269,0.49,0,388,0.71,-85,-0.15,-98,-0.10,2
7,Exit short,2025-04-04 07:45,TX30,507.49,100,51116,367,0.72,0,389,0.76,-108,-0.21,269,0.27,2
7,Entry short,2025-04-04 07:15,C5|S|MKT|15,511.16,100,51116,367,0.72,0,389,0.76,-108,-0.21,269,0.27,2
8,Exit short,2025-05-30 07:30,TX30,581.41,100,57890,-251,-0.43,0,3,0.01,-262,-0.45,18,0.02,2
8,Entry short,2025-05-30 07:00,C5|S|MKT|15,578.9,100,57890,-251,-0.43,0,3,0.01,-262,-0.45,18,0.02,2
9,Exit short,2025-08-01 07:30,TX30,616.55,100,61457,-198,-0.32,0,171,0.28,-210,-0.34,-180,-0.18,2
9,Entry short,2025-08-01 07:00,C5|S|MKT|15,614.57,100,61457,-198,-0.32,0,171,0.28,-210,-0.34,-180,-0.18,2
10,Exit short,2025-08-20 07:30,TX30,627.01,100,62841,140,0.22,0,169,0.27,-91,-0.14,-40,-0.04,2
10,Entry short,2025-08-20 07:00,C5|S|MKT|15,628.41,100,62841,140,0.22,0,169,0.27,-91,-0.14,-40,-0.04,2
11,Exit short,2025-11-18 07:30,TX30,653.67,100,65323,-44,-0.07,0,182,0.28,-165,-0.25,-84,-0.08,2
11,Entry short,2025-11-18 07:00,C5|S|MKT|15,653.23,100,65323,-44,-0.07,0,182,0.28,-165,-0.25,-84,-0.08,2
12,Exit long,2026-01-06 07:30,TX30,686.99,100,68644,55,0.08,0,77,0.11,-10,-0.01,-29,-0.03,2
12,Entry long,2026-01-06 07:00,C5|L|MKT|15,686.44,100,68644,55,0.08,0,77,0.11,-10,-0.01,-29,-0.03,2
13,Exit short,2026-01-14 07:30,TX30,685.12,100,68502,-10,-0.01,0,98,0.14,-217,-0.32,-39,-0.04,2
13,Entry short,2026-01-14 07:00,C5|S|MKT|15,685.02,100,68502,-10,-0.01,0,98,0.14,-217,-0.32,-39,-0.04,2
14,Exit short,2026-01-29 07:30,TX30,685.36,100,68789,253,0.37,0,267,0.39,-9,-0.01,214,0.21,2
14,Entry short,2026-01-29 07:00,C5|S|MKT|15,687.89,100,68789,253,0.37,0,267,0.39,-9,-0.01,214,0.21,2
15,Exit long,2026-03-04 08:00,TX30,682.2,100,68253,-33,-0.05,0,15,0.02,-226,-0.33,181,0.18,2
15,Entry long,2026-03-04 07:30,C5|L|MKT|15,682.53,100,68253,-33,-0.05,0,15,0.02,-226,-0.33,181,0.18,2
16,Exit long,2026-05-28 07:45,TX30,750.54,100,75109,-55,-0.07,0,43,0.06,-129,-0.17,126,0.13,2
16,Entry long,2026-05-28 07:15,C5|L|MKT|15,751.09,100,75109,-55,-0.07,0,43,0.06,-129,-0.17,126,0.13,2
17,Exit short,2026-06-25 07:30,TX30,735.45,100,72984,-561,-0.77,0,21,0.03,-666,-0.91,-435,-0.43,2
17,Entry short,2026-06-25 07:00,C5|S|MKT|15,729.84,100,72984,-561,-0.77,0,21,0.03,-666,-0.91,-435,-0.43,2
