Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2001-04-10,STOP,74.45,1,72.36,-2.09,-2.89,0,2.97,4.10,-2.09,-2.89,-2.09,0.00,5
1,Entry short,2001-04-03,V3 SHORT,72.36,1,72.36,-2.09,-2.89,0,2.97,4.10,-2.09,-2.89,-2.09,0.00,5
2,Exit long,2002-01-09,STOP,74.15,1,75.14,-0.99,-1.32,0,0.52,0.69,-0.99,-1.32,-3.08,0.00,3
2,Entry long,2002-01-04,V3 LONG,75.14,1,75.14,-0.99,-1.32,0,0.52,0.69,-0.99,-1.32,-3.08,0.00,3
3,Exit long,2003-04-16,STOP,57.61,1,58.81,-1.2,-2.04,0,0.1,0.17,-1.2,-2.04,-4.28,0.00,0
3,Entry long,2003-04-16,V3 LONG,58.81,1,58.81,-1.2,-2.04,0,0.1,0.17,-1.2,-2.04,-4.28,0.00,0
4,Exit long,2005-04-20,STOP,77.3,1,78.17,-0.87,-1.11,0,0.16,0.20,-0.87,-1.11,-5.15,-0.01,0
4,Entry long,2005-04-20,V3 LONG,78.17,1,78.17,-0.87,-1.11,0,0.16,0.20,-0.87,-1.11,-5.15,-0.01,0
5,Exit long,2006-05-30,STOP,87.22,1,88.22,-1,-1.13,0,0.02,0.02,-1,-1.13,-6.15,-0.01,0
5,Entry long,2006-05-30,V3 LONG,88.22,1,88.22,-1,-1.13,0,0.02,0.02,-1,-1.13,-6.15,-0.01,0
6,Exit long,2006-07-14,STOP,85.46,1,86.69,-1.23,-1.42,0,1.95,2.25,-1.23,-1.42,-7.38,-0.01,19
6,Entry long,2006-06-16,V3 LONG,86.69,1,86.69,-1.23,-1.42,0,1.95,2.25,-1.23,-1.42,-7.38,-0.01,19
7,Exit long,2007-03-13,STOP,97.61,1,98.82,-1.21,-1.22,0,0.08,0.08,-1.21,-1.22,-8.59,-0.01,2
7,Entry long,2007-03-09,V3 LONG,98.82,1,98.82,-1.21,-1.22,0,0.08,0.08,-1.21,-1.22,-8.59,-0.01,2
8,Exit long,2007-03-28,STOP,99.48,1,100.74,-1.26,-1.25,0,0.23,0.23,-1.26,-1.25,-9.85,-0.01,4
8,Entry long,2007-03-22,V3 LONG,100.74,1,100.74,-1.26,-1.25,0,0.23,0.23,-1.26,-1.25,-9.85,-0.01,4
9,Exit long,2007-07-17,TARGET,109.81,1,107.31,2.5,2.33,0,2.5,2.33,-1.17,-1.09,-7.35,-0.01,9
9,Entry long,2007-07-03,V3 LONG,107.31,1,107.31,2.5,2.33,0,2.5,2.33,-1.17,-1.09,-7.35,-0.01,9
10,Exit long,2007-09-07,STOP,102.5,1,104.5,-2,-1.91,0,0.29,0.28,-2,-1.91,-9.35,-0.01,2
10,Entry long,2007-09-05,V3 LONG,104.5,1,104.5,-2,-1.91,0,0.29,0.28,-2,-1.91,-9.35,-0.01,2
11,Exit long,2007-12-11,STOP,105.37,1,107.28,-1.91,-1.78,0,1.04,0.97,-1.91,-1.78,-11.26,-0.01,2
11,Entry long,2007-12-07,V3 LONG,107.28,1,107.28,-1.91,-1.78,0,1.04,0.97,-1.91,-1.78,-11.26,-0.01,2
12,Exit short,2008-02-12,STOP,96.24,1,93.88,-2.36,-2.51,0,0.05,0.05,-2.36,-2.51,-13.62,-0.01,3
12,Entry short,2008-02-07,V3 SHORT,93.88,1,93.88,-2.36,-2.51,0,0.05,0.05,-2.36,-2.51,-13.62,-0.01,3
13,Exit long,2009-01-20,STOP,58.89,1,63.16,-4.27,-6.76,0,5.81,9.20,-4.27,-6.76,-17.89,-0.02,36
13,Entry long,2008-11-25,V3 LONG,63.16,1,63.16,-4.27,-6.76,0,5.81,9.20,-4.27,-6.76,-17.89,-0.02,36
14,Exit short,2009-02-04,STOP,61.81,1,59.5,-2.31,-3.88,0,0.19,0.32,-2.31,-3.88,-20.2,-0.02,2
14,Entry short,2009-02-02,V3 SHORT,59.5,1,59.5,-2.31,-3.88,0,0.19,0.32,-2.31,-3.88,-20.2,-0.02,2
15,Exit long,2009-03-20,STOP,56.86,1,59.03,-2.17,-3.68,0,0.05,0.08,-2.17,-3.68,-22.37,-0.02,1
15,Entry long,2009-03-19,V3 LONG,59.03,1,59.03,-2.17,-3.68,0,0.05,0.08,-2.17,-3.68,-22.37,-0.02,1
16,Exit short,2009-10-30,TARGET,76.98,1,79.45,2.47,3.11,0,2.47,3.11,-0.27,-0.34,-19.9,-0.02,3
16,Entry short,2009-10-27,V3 SHORT,79.45,1,79.45,2.47,3.11,0,2.47,3.11,-0.27,-0.34,-19.9,-0.02,3
17,Exit long,2009-12-01,TARGET,82.78,1,80.47,2.31,2.87,0,2.31,2.87,-0.21,-0.26,-17.59,-0.02,2
17,Entry long,2009-11-27,V3 LONG,80.47,1,80.47,2.31,2.87,0,2.31,2.87,-0.21,-0.26,-17.59,-0.02,2
18,Exit long,2010-01-08,TARGET,85.54,1,82.74,2.8,3.38,0,2.8,3.38,-1.18,-1.43,-14.79,-0.01,16
18,Entry long,2009-12-15,V3 LONG,82.74,1,82.74,2.8,3.38,0,2.8,3.38,-1.18,-1.43,-14.79,-0.01,16
19,Exit long,2010-02-18,TARGET,82.51,1,79.85,2.66,3.33,0,2.66,3.33,-0.36,-0.45,-12.13,-0.01,3
19,Entry long,2010-02-12,V3 LONG,79.85,1,79.85,2.66,3.33,0,2.66,3.33,-0.36,-0.45,-12.13,-0.01,3
20,Exit long,2010-03-11,TARGET,86.12,1,83.86,2.26,2.69,0,2.26,2.69,-0.27,-0.32,-9.87,-0.01,7
20,Entry long,2010-03-02,V3 LONG,83.86,1,83.86,2.26,2.69,0,2.26,2.69,-0.27,-0.32,-9.87,-0.01,7
21,Exit long,2010-04-30,STOP,89.51,1,90.58,-1.07,-1.18,0,0.1,0.11,-1.07,-1.18,-10.94,-0.01,0
21,Entry long,2010-04-30,V3 LONG,90.58,1,90.58,-1.07,-1.18,0,0.1,0.11,-1.07,-1.18,-10.94,-0.01,0
22,Exit long,2010-06-24,STOP,80.81,1,82.82,-2.01,-2.43,0,2.41,2.91,-2.01,-2.43,-12.95,-0.01,8
22,Entry long,2010-06-14,V3 LONG,82.82,1,82.82,-2.01,-2.43,0,2.41,2.91,-2.01,-2.43,-12.95,-0.01,8
23,Exit long,2010-07-26,TARGET,84.06,1,80.56,3.5,4.34,0,3.5,4.34,-0.88,-1.09,-9.45,-0.01,12
23,Entry long,2010-07-08,V3 LONG,80.56,1,80.56,3.5,4.34,0,3.5,4.34,-0.88,-1.09,-9.45,-0.01,12
24,Exit long,2010-09-20,TARGET,85.85,1,83.1,2.75,3.31,0,2.75,3.31,-0.62,-0.75,-6.7,-0.01,9
24,Entry long,2010-09-07,V3 LONG,83.1,1,83.1,2.75,3.31,0,2.75,3.31,-0.62,-0.75,-6.7,-0.01,9
25,Exit long,2010-10-27,STOP,89.06,1,90.19,-1.13,-1.25,0,0.46,0.51,-1.13,-1.25,-7.83,-0.01,2
25,Entry long,2010-10-25,V3 LONG,90.19,1,90.19,-1.13,-1.25,0,0.46,0.51,-1.13,-1.25,-7.83,-0.01,2
26,Exit long,2010-11-23,STOP,89.61,1,90.76,-1.15,-1.27,0,0.33,0.36,-1.15,-1.27,-8.98,-0.01,2
26,Entry long,2010-11-19,V3 LONG,90.76,1,90.76,-1.15,-1.27,0,0.33,0.36,-1.15,-1.27,-8.98,-0.01,2
27,Exit long,2011-03-01,STOP,100.06,1,101.07,-1.01,-1.00,0,0.66,0.65,-1.01,-1.00,-9.99,-0.01,1
27,Entry long,2011-02-28,V3 LONG,101.07,1,101.07,-1.01,-1.00,0,0.66,0.65,-1.01,-1.00,-9.99,-0.01,1
28,Exit long,2011-04-20,TARGET,101.9,1,99.8,2.1,2.10,0,2.1,2.10,-0.82,-0.82,-7.89,-0.01,2
28,Entry long,2011-04-18,V3 LONG,99.8,1,99.8,2.1,2.10,0,2.1,2.10,-0.82,-0.82,-7.89,-0.01,2
29,Exit long,2011-04-29,TARGET,104.33,1,102.17,2.16,2.11,0,2.16,2.11,-0.37,-0.36,-5.73,-0.01,4
29,Entry long,2011-04-25,V3 LONG,102.17,1,102.17,2.16,2.11,0,2.16,2.11,-0.37,-0.36,-5.73,-0.01,4
30,Exit long,2011-05-23,STOP,100.87,1,103.02,-2.15,-2.09,0,0.18,0.17,-2.15,-2.09,-7.88,-0.01,2
30,Entry long,2011-05-19,V3 LONG,103.02,1,103.02,-2.15,-2.09,0,0.18,0.17,-2.15,-2.09,-7.88,-0.01,2
31,Exit long,2011-08-18,STOP,89.11,1,91.76,-2.65,-2.89,0,1.33,1.45,-2.65,-2.89,-10.53,-0.01,2
31,Entry long,2011-08-16,V3 LONG,91.76,1,91.76,-2.65,-2.89,0,1.33,1.45,-2.65,-2.89,-10.53,-0.01,2
32,Exit short,2011-09-13,STOP,90.47,1,87.92,-2.55,-2.90,0,0.32,0.36,-2.55,-2.90,-13.08,-0.01,1
32,Entry short,2011-09-12,V3 SHORT,87.92,1,87.92,-2.55,-2.90,0,0.32,0.36,-2.55,-2.90,-13.08,-0.01,1
33,Exit long,2011-10-12,TARGET,93.52,1,88.29,5.23,5.92,0,5.23,5.92,-0.66,-0.75,-7.85,-0.01,4
33,Entry long,2011-10-06,V3 LONG,88.29,1,88.29,5.23,5.92,0,5.23,5.92,-0.66,-0.75,-7.85,-0.01,4
34,Exit long,2011-11-17,STOP,94.43,1,96.68,-2.25,-2.33,0,2.15,2.22,-2.25,-2.33,-10.1,-0.01,9
34,Entry long,2011-11-04,V3 LONG,96.68,1,96.68,-2.25,-2.33,0,2.15,2.22,-2.25,-2.33,-10.1,-0.01,9
35,Exit long,2011-12-14,STOP,94.27,1,96.39,-2.12,-2.20,0,1.86,1.93,-2.12,-2.20,-12.22,-0.01,9
35,Entry long,2011-12-01,V3 LONG,96.39,1,96.39,-2.12,-2.20,0,1.86,1.93,-2.12,-2.20,-12.22,-0.01,9
36,Exit short,2012-02-16,STOP,105.64,1,104.55,-1.09,-1.04,0,0.19,0.18,-1.09,-1.04,-13.31,-0.01,0
36,Entry short,2012-02-16,V3 SHORT,104.55,1,104.55,-1.09,-1.04,0,0.19,0.18,-1.09,-1.04,-13.31,-0.01,0
37,Exit long,2012-04-16,STOP,106.88,1,108.05,-1.17,-1.08,0,0.27,0.25,-1.17,-1.08,-14.48,-0.01,1
37,Entry long,2012-04-13,V3 LONG,108.05,1,108.05,-1.17,-1.08,0,0.27,0.25,-1.17,-1.08,-14.48,-0.01,1
38,Exit long,2012-05-04,STOP,107.18,1,108.38,-1.2,-1.11,0,2.16,1.99,-1.2,-1.11,-15.68,-0.02,6
38,Entry long,2012-04-26,V3 LONG,108.38,1,108.38,-1.2,-1.11,0,2.16,1.99,-1.2,-1.11,-15.68,-0.02,6
39,Exit long,2012-06-08,STOP,102.61,1,104.15,-1.54,-1.48,0,0.05,0.05,-1.54,-1.48,-17.22,-0.02,1
39,Entry long,2012-06-07,V3 LONG,104.15,1,104.15,-1.54,-1.48,0,0.05,0.05,-1.54,-1.48,-17.22,-0.02,1
40,Exit long,2012-06-25,STOP,103.25,1,104.78,-1.53,-1.46,0,2.09,1.99,-1.53,-1.46,-18.75,-0.02,5
40,Entry long,2012-06-18,V3 LONG,104.78,1,104.78,-1.53,-1.46,0,2.09,1.99,-1.53,-1.46,-18.75,-0.02,5
41,Exit long,2012-06-29,TARGET,106.79,1,103.76,3.03,2.92,0,3.03,2.92,-0.79,-0.76,-15.72,-0.02,1
41,Entry long,2012-06-28,V3 LONG,103.76,1,103.76,3.03,2.92,0,3.03,2.92,-0.79,-0.76,-15.72,-0.02,1
42,Exit long,2012-07-23,STOP,105.47,1,107.97,-2.5,-2.32,0,0.41,0.38,-2.5,-2.32,-18.22,-0.02,2
42,Entry long,2012-07-19,V3 LONG,107.97,1,107.97,-2.5,-2.32,0,0.41,0.38,-2.5,-2.32,-18.22,-0.02,2
43,Exit long,2012-08-07,TARGET,110.24,1,107.37,2.87,2.67,0,2.87,2.67,-1.03,-0.96,-15.35,-0.02,7
43,Entry long,2012-07-27,V3 LONG,107.37,1,107.37,2.87,2.67,0,2.87,2.67,-1.03,-0.96,-15.35,-0.02,7
44,Exit long,2012-12-03,TARGET,112.61,1,109.54,3.07,2.80,0,3.07,2.80,-0.66,-0.60,-12.28,-0.01,8
44,Entry long,2012-11-20,V3 LONG,109.54,1,109.54,3.07,2.80,0,3.07,2.80,-0.66,-0.60,-12.28,-0.01,8
45,Exit long,2013-05-03,TARGET,128.68,1,125.9,2.78,2.21,0,2.78,2.21,-0.23,-0.18,-9.5,-0.01,7
45,Entry long,2013-04-24,V3 LONG,125.9,1,125.9,2.78,2.21,0,2.78,2.21,-0.23,-0.18,-9.5,-0.01,7
46,Exit long,2013-06-12,STOP,129.18,1,130.7,-1.52,-1.16,0,1.24,0.95,-1.52,-1.16,-11.02,-0.01,3
46,Entry long,2013-06-07,V3 LONG,130.7,1,130.7,-1.52,-1.16,0,1.24,0.95,-1.52,-1.16,-11.02,-0.01,3
47,Exit long,2013-07-15,TARGET,134.77,1,131.4,3.37,2.56,0,3.37,2.56,-0.62,-0.47,-7.65,-0.01,5
47,Entry long,2013-07-08,V3 LONG,131.4,1,131.4,3.37,2.56,0,3.37,2.56,-0.62,-0.47,-7.65,-0.01,5
48,Exit long,2013-10-17,TARGET,139.12,1,136.35,2.77,2.03,0,2.77,2.03,-0.1,-0.07,-4.88,0.00,3
48,Entry long,2013-10-14,V3 LONG,136.35,1,136.35,2.77,2.03,0,2.77,2.03,-0.1,-0.07,-4.88,0.00,3
