Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2016-01-04 12:55,STP,101.41,870,87974.4,-253.17,-0.29,0.87,817.37,0.93,-252.73,-0.29,-253.17,-1.01,76
1,Entry short,2016-01-04 06:35,QQQREP|S|v1.1.7-rep|P1/10/4,101.12,870,87974.4,-253.17,-0.29,0.87,817.37,0.93,-252.73,-0.29,-253.17,-1.01,76
2,Exit short,2016-01-05 12:55,EOD,101.22,809,82340.02,452.23,0.55,0.81,784.33,0.95,-129.84,-0.16,199.06,0.80,76
2,Entry short,2016-01-05 06:35,QQQREP|S|v1.1.7-rep|P1/10/4,101.78,809,82340.02,452.23,0.55,0.81,784.33,0.95,-129.84,-0.16,199.06,0.80,76
3,Exit long,2016-01-06 12:55,EOD,100.32,1011,100766.37,656.14,0.65,1.01,1212.69,1.20,-91.5,-0.09,855.2,3.42,76
3,Entry long,2016-01-06 06:35,QQQREP|L|v1.1.7-rep|P1/10/4,99.67,1011,100766.37,656.14,0.65,1.01,1212.69,1.20,-91.5,-0.09,855.2,3.42,76
4,Exit short,2016-01-07 06:35,STP,98.22,1054,103334.16,-190.77,-0.18,1.05,10.01,0.01,-190.25,-0.18,664.43,2.66,0
4,Entry short,2016-01-07 06:35,QQQREP|S|v1.1.7-rep|P1/10/4,98.04,1054,103334.16,-190.77,-0.18,1.05,10.01,0.01,-190.25,-0.18,664.43,2.66,0
5,Exit long,2016-01-08 07:10,STP,97.77,512,50314.24,-256.51,-0.51,0.51,107.26,0.21,-256.26,-0.51,407.91,1.63,7
5,Entry long,2016-01-08 06:35,QQQREP|L|v1.1.7-rep|P1/10/4,98.27,512,50314.24,-256.51,-0.51,0.51,107.26,0.21,-256.26,-0.51,407.91,1.63,7
6,Exit long,2016-01-11 06:35,STP,97.04,1045,101553.1,-147.34,-0.15,1.05,51.73,0.05,-146.82,-0.14,260.57,1.04,0
6,Entry long,2016-01-11 06:35,QQQREP|L|v1.1.7-rep|P1/10/4,97.18,1045,101553.1,-147.34,-0.15,1.05,51.73,0.05,-146.82,-0.14,260.57,1.04,0
7,Exit long,2016-01-12 07:45,STP,97.51,778,76119.52,-257.52,-0.34,0.78,341.93,0.45,-257.13,-0.34,3.05,0.01,14
7,Entry long,2016-01-12 06:35,QQQREP|L|v1.1.7-rep|P1/10/4,97.84,778,76119.52,-257.52,-0.34,0.78,341.93,0.45,-257.13,-0.34,3.05,0.01,14
8,Exit long,2016-01-13 06:45,STP,98.07,1018,99957.42,-123.18,-0.12,1.02,233.63,0.23,-122.67,-0.12,-120.13,-0.48,2
8,Entry long,2016-01-13 06:35,QQQREP|L|v1.1.7-rep|P1/10/4,98.19,1018,99957.42,-123.18,-0.12,1.02,233.63,0.23,-122.67,-0.12,-120.13,-0.48,2
9,Exit short,2016-01-14 07:20,STP,94.91,1051,99498.17,-253.29,-0.25,1.05,1460.36,1.47,-252.77,-0.25,-373.42,-1.49,9
9,Entry short,2016-01-14 06:35,QQQREP|S|v1.1.7-rep|P1/10/4,94.67,1051,99498.17,-253.29,-0.25,1.05,1460.36,1.47,-252.77,-0.25,-373.42,-1.49,9
10,Exit long,2016-01-15 09:05,STP,93.07,474,44366.4,-251.69,-0.57,0.47,402.66,0.91,-251.46,-0.57,-625.11,-2.50,30
10,Entry long,2016-01-15 06:35,QQQREP|L|v1.1.7-rep|P1/10/4,93.6,474,44366.4,-251.69,-0.57,0.47,402.66,0.91,-251.46,-0.57,-625.11,-2.50,30
