Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2010-01-19 08:00,TX60,85.53,100,8524,29,0.34,0,37,0.43,-1,-0.01,29,0.03,4
1,Entry long,2010-01-19 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,85.24,100,8524,29,0.34,0,37,0.43,-1,-0.01,29,0.03,4
2,Exit short,2010-01-20 08:15,TX60,84.47,100,8485,38,0.45,0,53,0.62,-7,-0.08,67,0.07,4
2,Entry short,2010-01-20 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,84.85,100,8485,38,0.45,0,53,0.62,-7,-0.08,67,0.07,4
3,Exit short,2010-01-21 08:00,TX60,84.05,100,8497,92,1.08,0,110,1.29,-21,-0.25,159,0.16,4
3,Entry short,2010-01-21 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,84.97,100,8497,92,1.08,0,110,1.29,-21,-0.25,159,0.16,4
4,Exit short,2010-01-22 08:15,TX60,83.09,100,8268,-41,-0.50,0,17,0.21,-61,-0.74,118,0.12,4
4,Entry short,2010-01-22 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,82.68,100,8268,-41,-0.50,0,17,0.21,-61,-0.74,118,0.12,4
5,Exit short,2010-01-25 08:15,TX60,81.79,100,8185,6,0.07,0,11,0.13,-38,-0.46,124,0.12,4
5,Entry short,2010-01-25 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,81.85,100,8185,6,0.07,0,11,0.13,-38,-0.46,124,0.12,4
6,Exit long,2010-01-26 08:15,TX60,81.99,100,8204,-5,-0.06,0,10,0.12,-25,-0.30,119,0.12,4
6,Entry long,2010-01-26 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,82.04,100,8204,-5,-0.06,0,10,0.12,-25,-0.30,119,0.12,4
7,Exit short,2010-01-28 08:15,TX60,81.25,100,8149,24,0.29,0,48,0.59,-16,-0.20,143,0.14,4
7,Entry short,2010-01-28 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,81.49,100,8149,24,0.29,0,48,0.59,-16,-0.20,143,0.14,4
8,Exit long,2010-01-29 08:00,TX60,81.56,100,8159,-3,-0.04,0,35,0.43,-23,-0.28,140,0.14,4
8,Entry long,2010-01-29 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,81.59,100,8159,-3,-0.04,0,35,0.43,-23,-0.28,140,0.14,4
9,Exit long,2010-02-01 08:15,TX60,80.94,100,8100,-6,-0.07,0,20,0.25,-22,-0.27,134,0.13,4
9,Entry long,2010-02-01 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,81,100,8100,-6,-0.07,0,20,0.25,-22,-0.27,134,0.13,4
10,Exit long,2010-02-02 08:30,TX60,81.96,100,8188,8,0.10,0,21,0.26,-10,-0.12,142,0.14,4
10,Entry long,2010-02-02 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,81.88,100,8188,8,0.10,0,21,0.26,-10,-0.12,142,0.14,4
11,Exit long,2010-02-03 08:00,TX60,82.02,100,8236,-34,-0.41,0,0,0.00,-56,-0.68,108,0.11,4
11,Entry long,2010-02-03 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,82.36,100,8236,-34,-0.41,0,0,0.00,-56,-0.68,108,0.11,4
12,Exit short,2010-02-04 08:00,TX60,80.23,100,8057,34,0.42,0,37,0.46,-16,-0.20,142,0.14,4
12,Entry short,2010-02-04 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,80.57,100,8057,34,0.42,0,37,0.46,-16,-0.20,142,0.14,4
