Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2015-01-27,1 ATR stop,167.54,587,99784.13,-1457.96,-1.46,19.81,136.77,0.14,-1448.13,-1.45,-1457.96,-1.46,2
1,Entry long,2015-01-23,CB V4,169.99,587,99784.13,-1457.96,-1.46,19.81,136.77,0.14,-1448.13,-1.45,-1457.96,-1.46,2
2,Exit long,2015-02-17,2R target,173.51,582,98037.9,2925.02,2.98,19.9,2935.12,2.99,-213.5,-0.22,1467.05,1.47,8
2,Entry long,2015-02-04,CB V4,168.45,582,98037.9,2925.02,2.98,19.9,2935.12,2.99,-213.5,-0.22,1467.05,1.47,8
3,Exit long,2015-03-25,1 ATR stop,171.55,583,101115.52,-1121.98,-1.11,20.11,992.65,0.98,-1111.98,-1.10,345.07,0.35,4
3,Entry long,2015-03-19,CB V4,173.44,583,101115.52,-1121.98,-1.11,20.11,992.65,0.98,-1111.98,-1.10,345.07,0.35,4
4,Exit short,2015-03-26,Margin call,171.23,20,3400.8,-24.48,-0.72,0.68,13.26,0.39,-24.14,-0.71,310.95,0.31,0
4,Entry short,2015-03-26,CB V4,170.04,20,3400.8,-24.48,-0.72,0.68,13.26,0.39,-24.14,-0.71,310.95,0.31,0
5,Exit short,2015-03-30,1 ATR stop,171.89,567,96412.68,-1068.34,-1.11,19.39,375.92,0.39,-1058.59,-1.10,-747.75,-0.75,2
5,Entry short,2015-03-26,CB V4,170.04,567,96412.68,-1068.34,-1.11,19.39,375.92,0.39,-1058.59,-1.10,-747.75,-0.75,2
6,Exit long,2015-04-01,1 ATR stop,170.14,574,98710.78,-1070.06,-1.08,19.64,386.19,0.39,-1060.29,-1.07,-1817.8,-1.82,1
6,Entry long,2015-03-31,CB V4,171.97,574,98710.78,-1070.06,-1.08,19.64,386.19,0.39,-1060.29,-1.07,-1817.8,-1.82,1
7,Exit long,2015-04-27,2R target,176.17,569,98135.43,2085.46,2.12,19.84,2095.49,2.14,-413.8,-0.42,267.66,0.27,14
7,Entry long,2015-04-07,CB V4,172.47,569,98135.43,2085.46,2.12,19.84,2095.49,2.14,-413.8,-0.42,267.66,0.27,14
8,Exit long,2015-05-12,1 ATR stop,173.76,570,100063.5,-1040.21,-1.04,19.91,132.49,0.13,-1030.31,-1.03,-772.55,-0.77,1
8,Entry long,2015-05-11,CB V4,175.55,570,100063.5,-1040.21,-1.04,19.91,132.49,0.13,-1030.31,-1.03,-772.55,-0.77,1
9,Exit long,2015-07-24,1 ATR stop,173.82,564,99094.8,-1080.03,-1.09,19.71,1140.65,1.15,-1070.23,-1.08,-1852.59,-1.85,7
9,Entry long,2015-07-15,CB V4,175.7,564,99094.8,-1080.03,-1.09,19.71,1140.65,1.15,-1070.23,-1.08,-1852.59,-1.85,7
10,Exit short,2015-09-03,Margin call,163.64,16,2576,-42.76,-1.66,0.52,31.42,1.22,-42.5,-1.65,-1904.67,-1.90,2
10,Entry short,2015-09-01,CB V4,161,16,2576,-42.76,-1.66,0.52,31.42,1.22,-42.5,-1.65,-1904.67,-1.90,2
11,Exit short,2015-09-03,1 ATR stop,164.21,579,93219,-1877.42,-2.01,18.83,1137.1,1.22,-1867.91,-2.00,-3772.77,-3.77,2
11,Entry short,2015-09-01,CB V4,161,579,93219,-1877.42,-2.01,18.83,1137.1,1.22,-1867.91,-2.00,-3772.77,-3.77,2
12,Exit long,2015-09-14,Margin call,164.19,1,164.21,-0.05,-0.03,0.03,0,0.00,-0.04,-0.02,-3782.42,-3.78,0
12,Entry long,2015-09-14,CB V4,164.21,1,164.21,-0.05,-0.03,0.03,0,0.00,-0.04,-0.02,-3782.42,-3.78,0
13,Exit long,2015-09-24,1 ATR stop,160.94,585,96062.85,-1931.97,-2.01,19.02,2886.14,3.00,-1922.56,-2.00,-5704.79,-5.70,8
13,Entry long,2015-09-14,CB V4,164.21,585,96062.85,-1931.97,-2.01,19.02,2886.14,3.00,-1922.56,-2.00,-5704.79,-5.70,8
14,Exit long,2015-10-23,2R target,173.69,564,94041.36,3900.6,4.15,19.2,3910.4,4.16,-184.24,-0.20,-1804.19,-1.80,11
14,Entry long,2015-10-08,CB V4,166.74,564,94041.36,3900.6,4.15,19.2,3910.4,4.16,-184.24,-0.20,-1804.19,-1.80,11
15,Exit long,2015-12-03,1 ATR stop,172.81,561,98074.02,-1147.11,-1.17,19.5,1117.8,1.14,-1137.42,-1.16,-2951.3,-2.95,9
15,Entry long,2015-11-19,CB V4,174.82,561,98074.02,-1147.11,-1.17,19.5,1117.8,1.14,-1137.42,-1.16,-2951.3,-2.95,9
16,Exit long,2015-12-08,1 ATR stop,173.04,552,96798.72,-1299.87,-1.34,19.23,216.64,0.22,-1290.32,-1.33,-4251.17,-4.25,1
16,Entry long,2015-12-07,CB V4,175.36,552,96798.72,-1299.87,-1.34,19.23,216.64,0.22,-1290.32,-1.33,-4251.17,-4.25,1
17,Exit long,2016-02-24,1 ATR stop,160.62,582,95191.92,-1729.95,-1.82,18.87,141.8,0.15,-1720.6,-1.81,-5981.12,-5.98,1
17,Entry long,2016-02-23,CB V4,163.56,582,95191.92,-1729.95,-1.82,18.87,141.8,0.15,-1720.6,-1.81,-5981.12,-5.98,1
18,Exit long,2016-07-12,2R target,182.74,525,93450,2469.56,2.64,18.94,2479.16,2.65,-859.84,-0.92,-3511.56,-3.51,5
18,Entry long,2016-07-05,CB V4,178,525,93450,2469.56,2.64,18.94,2479.16,2.65,-859.84,-0.92,-3511.56,-3.51,5
19,Exit long,2018-02-28,1 ATR stop,240.33,395,96443.2,-1531.99,-1.59,19.14,266.86,0.28,-1522.49,-1.58,-5043.55,-5.04,1
19,Entry long,2018-02-27,CB V4,244.16,395,96443.2,-1531.99,-1.59,19.14,266.86,0.28,-1522.49,-1.58,-5043.55,-5.04,1
20,Exit long,2018-04-02,1 ATR stop,227.34,409,94654.87,-1691.57,-1.79,18.76,195.03,0.21,-1682.28,-1.78,-6735.12,-6.74,0
20,Entry long,2018-04-02,CB V4,231.43,409,94654.87,-1691.57,-1.79,18.76,195.03,0.21,-1682.28,-1.78,-6735.12,-6.74,0
21,Exit long,2018-05-22,2R target,241.61,396,93024.36,2634.33,2.83,18.87,2643.9,2.84,-484.5,-0.52,-4100.79,-4.10,10
21,Entry long,2018-05-08,CB V4,234.91,396,93024.36,2634.33,2.83,18.87,2643.9,2.84,-484.5,-0.52,-4100.79,-4.10,10
22,Exit long,2018-06-25,1 ATR stop,239.97,395,95763.8,-994.71,-1.04,19.06,1530.92,1.60,-985.23,-1.03,-5095.5,-5.10,14
22,Entry long,2018-06-05,CB V4,242.44,395,95763.8,-994.71,-1.04,19.06,1530.92,1.60,-985.23,-1.03,-5095.5,-5.10,14
23,Exit long,2018-10-18,1 ATR stop,246.37,380,94783.4,-1181.64,-1.25,18.84,226.12,0.24,-1172.28,-1.24,-6277.14,-6.28,1
23,Entry long,2018-10-17,CB V4,249.43,380,94783.4,-1181.64,-1.25,18.84,226.12,0.24,-1172.28,-1.24,-6277.14,-6.28,1
24,Exit long,2018-11-29,2R target,244.97,393,93097.77,3156.5,3.39,18.94,3166.13,3.40,-252.97,-0.27,-3120.63,-3.12,2
24,Entry long,2018-11-27,CB V4,236.89,393,93097.77,3156.5,3.39,18.94,3166.13,3.40,-252.97,-0.27,-3120.63,-3.12,2
25,Exit long,2019-01-09,2R target,231.28,433,95285.98,4838.72,5.08,19.54,4848.73,5.09,-910.17,-0.96,1718.08,1.72,5
25,Entry long,2019-01-02,CB V4,220.06,433,95285.98,4838.72,5.08,19.54,4848.73,5.09,-910.17,-0.96,1718.08,1.72,5
26,Exit long,2019-03-27,1 ATR stop,249.97,402,101541.18,-1073.44,-1.06,20.2,223.01,0.22,-1063.39,-1.05,644.64,0.64,0
26,Entry long,2019-03-27,CB V4,252.59,402,101541.18,-1073.44,-1.06,20.2,223.01,0.22,-1063.39,-1.05,644.64,0.64,0
27,Exit long,2019-06-20,2R target,266,386,100325.26,2330.44,2.32,20.3,2340.71,2.33,-307.25,-0.31,2975.08,2.98,4
27,Entry long,2019-06-14,CB V4,259.91,386,100325.26,2330.44,2.32,20.3,2340.71,2.33,-307.25,-0.31,2975.08,2.98,4
28,Exit long,2019-11-01,2R target,277.17,379,102576.35,2450.32,2.39,20.76,2460.82,2.40,-487.8,-0.48,5425.4,5.43,12
28,Entry long,2019-10-16,CB V4,270.65,379,102576.35,2450.32,2.39,20.76,2460.82,2.40,-487.8,-0.48,5425.4,5.43,12
