Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2015-01-27,1 ATR stop,167.54,587,99784.13,-1457.96,-1.46,19.81,136.77,0.14,-1448.13,-1.45,-1457.96,-1.46,2
1,Entry long,2015-01-23,CB V3,169.99,587,99784.13,-1457.96,-1.46,19.81,136.77,0.14,-1448.13,-1.45,-1457.96,-1.46,2
2,Exit long,2015-02-17,2R target,173.51,582,98037.9,2925.02,2.98,19.9,2935.12,2.99,-213.5,-0.22,1467.05,1.47,8
2,Entry long,2015-02-04,CB V3,168.45,582,98037.9,2925.02,2.98,19.9,2935.12,2.99,-213.5,-0.22,1467.05,1.47,8
3,Exit long,2015-03-25,1 ATR stop,171.55,583,101115.52,-1121.98,-1.11,20.11,992.65,0.98,-1111.98,-1.10,345.07,0.35,4
3,Entry long,2015-03-19,CB V3,173.44,583,101115.52,-1121.98,-1.11,20.11,992.65,0.98,-1111.98,-1.10,345.07,0.35,4
4,Exit short,2015-03-26,Margin call,171.23,20,3400.8,-24.48,-0.72,0.68,13.26,0.39,-24.14,-0.71,310.95,0.31,0
4,Entry short,2015-03-26,CB V3,170.04,20,3400.8,-24.48,-0.72,0.68,13.26,0.39,-24.14,-0.71,310.95,0.31,0
5,Exit short,2015-03-30,1 ATR stop,171.89,567,96412.68,-1068.34,-1.11,19.39,375.92,0.39,-1058.59,-1.10,-747.75,-0.75,2
5,Entry short,2015-03-26,CB V3,170.04,567,96412.68,-1068.34,-1.11,19.39,375.92,0.39,-1058.59,-1.10,-747.75,-0.75,2
6,Exit long,2015-04-01,1 ATR stop,170.14,574,98710.78,-1070.06,-1.08,19.64,386.19,0.39,-1060.29,-1.07,-1817.8,-1.82,1
6,Entry long,2015-03-31,CB V3,171.97,574,98710.78,-1070.06,-1.08,19.64,386.19,0.39,-1060.29,-1.07,-1817.8,-1.82,1
7,Exit long,2015-04-27,2R target,176.17,569,98135.43,2085.46,2.12,19.84,2095.49,2.14,-413.8,-0.42,267.66,0.27,14
7,Entry long,2015-04-07,CB V3,172.47,569,98135.43,2085.46,2.12,19.84,2095.49,2.14,-413.8,-0.42,267.66,0.27,14
8,Exit long,2015-05-12,1 ATR stop,173.76,570,100063.5,-1040.21,-1.04,19.91,132.49,0.13,-1030.31,-1.03,-772.55,-0.77,1
8,Entry long,2015-05-11,CB V3,175.55,570,100063.5,-1040.21,-1.04,19.91,132.49,0.13,-1030.31,-1.03,-772.55,-0.77,1
9,Exit long,2015-07-27,1 ATR stop,172.52,567,99145.62,-1346.48,-1.36,19.7,1623.05,1.64,-1336.69,-1.35,-2119.03,-2.12,9
9,Entry long,2015-07-14,CB V3,174.86,567,99145.62,-1346.48,-1.36,19.7,1623.05,1.64,-1336.69,-1.35,-2119.03,-2.12,9
10,Exit short,2015-09-03,Margin call,163.64,16,2576,-42.76,-1.66,0.52,31.42,1.22,-42.5,-1.65,-2171.08,-2.17,2
10,Entry short,2015-09-01,CB V3,161,16,2576,-42.76,-1.66,0.52,31.42,1.22,-42.5,-1.65,-2171.08,-2.17,2
11,Exit short,2015-09-03,1 ATR stop,164.21,577,92897,-1870.93,-2.01,18.76,1133.17,1.22,-1861.46,-2.00,-4032.72,-4.03,2
11,Entry short,2015-09-01,CB V3,161,577,92897,-1870.93,-2.01,18.76,1133.17,1.22,-1861.46,-2.00,-4032.72,-4.03,2
12,Exit long,2015-09-24,1 ATR stop,160.94,584,95898.64,-1928.67,-2.01,18.99,2881.21,3.00,-1919.27,-2.00,-5961.39,-5.96,8
12,Entry long,2015-09-14,CB V3,164.21,584,95898.64,-1928.67,-2.01,18.99,2881.21,3.00,-1919.27,-2.00,-5961.39,-5.96,8
13,Exit long,2015-10-22,2R target,172.23,565,93908.65,3382.18,3.60,19.12,3391.91,3.61,-636.54,-0.68,-2579.21,-2.58,12
13,Entry long,2015-10-06,CB V3,166.21,565,93908.65,3382.18,3.60,19.12,3391.91,3.61,-636.54,-0.68,-2579.21,-2.58,12
14,Exit long,2015-12-03,1 ATR stop,172.81,556,97199.92,-1136.89,-1.17,19.33,1107.84,1.14,-1127.28,-1.16,-3716.1,-3.72,9
14,Entry long,2015-11-19,CB V3,174.82,556,97199.92,-1136.89,-1.17,19.33,1107.84,1.14,-1127.28,-1.16,-3716.1,-3.72,9
15,Exit long,2015-12-08,1 ATR stop,173.04,547,95921.92,-1288.1,-1.34,19.06,214.68,0.22,-1278.63,-1.33,-5004.2,-5.00,1
15,Entry long,2015-12-07,CB V3,175.36,547,95921.92,-1288.1,-1.34,19.06,214.68,0.22,-1278.63,-1.33,-5004.2,-5.00,1
16,Exit long,2016-02-03,1 ATR stop,159.04,581,94307.92,-1924.35,-2.04,18.67,989.89,1.05,-1915.11,-2.03,-6928.55,-6.93,2
16,Entry long,2016-02-01,CB V3,162.32,581,94307.92,-1924.35,-2.04,18.67,989.89,1.05,-1915.11,-2.03,-6928.55,-6.93,2
17,Exit long,2016-02-24,1 ATR stop,160.62,566,92574.96,-1682.39,-1.82,18.35,137.9,0.15,-1673.3,-1.81,-8610.94,-8.61,1
17,Entry long,2016-02-23,CB V3,163.56,566,92574.96,-1682.39,-1.82,18.35,137.9,0.15,-1673.3,-1.81,-8610.94,-8.61,1
18,Exit long,2016-07-12,2R target,182.74,511,90958,2403.71,2.64,18.43,2413.04,2.65,-836.92,-0.92,-6207.23,-6.21,5
18,Entry long,2016-07-05,CB V3,178,511,90958,2403.71,2.64,18.43,2413.04,2.65,-836.92,-0.92,-6207.23,-6.21,5
19,Exit long,2018-02-28,1 ATR stop,240.33,384,93757.44,-1489.32,-1.59,18.6,259.42,0.28,-1480.1,-1.58,-7696.56,-7.70,1
19,Entry long,2018-02-27,CB V3,244.16,384,93757.44,-1489.32,-1.59,18.6,259.42,0.28,-1480.1,-1.58,-7696.56,-7.70,1
20,Exit long,2018-04-02,1 ATR stop,227.34,397,91877.71,-1641.94,-1.79,18.21,189.31,0.21,-1632.92,-1.78,-9338.5,-9.34,0
20,Entry long,2018-04-02,CB V3,231.43,397,91877.71,-1641.94,-1.79,18.21,189.31,0.21,-1632.92,-1.78,-9338.5,-9.34,0
21,Exit long,2018-05-22,2R target,241.61,385,90440.35,2561.15,2.83,18.35,2570.46,2.84,-471.04,-0.52,-6777.35,-6.78,10
21,Entry long,2018-05-08,CB V3,234.91,385,90440.35,2561.15,2.83,18.35,2570.46,2.84,-471.04,-0.52,-6777.35,-6.78,10
22,Exit long,2018-06-25,1 ATR stop,239.97,384,93096.96,-967,-1.04,18.52,1488.29,1.60,-957.79,-1.03,-7744.35,-7.74,14
22,Entry long,2018-06-05,CB V3,242.44,384,93096.96,-967,-1.04,18.52,1488.29,1.60,-957.79,-1.03,-7744.35,-7.74,14
23,Exit long,2018-10-18,1 ATR stop,246.37,369,92039.67,-1147.43,-1.25,18.3,219.58,0.24,-1138.34,-1.24,-8891.79,-8.89,1
23,Entry long,2018-10-17,CB V3,249.43,369,92039.67,-1147.43,-1.25,18.3,219.58,0.24,-1138.34,-1.24,-8891.79,-8.89,1
24,Exit long,2018-11-29,2R target,244.97,382,90491.98,3068.15,3.39,18.41,3077.51,3.40,-245.89,-0.27,-5823.63,-5.82,2
24,Entry long,2018-11-27,CB V3,236.89,382,90491.98,3068.15,3.39,18.41,3077.51,3.40,-245.89,-0.27,-5823.63,-5.82,2
25,Exit long,2019-01-09,2R target,231.28,421,92645.26,4704.62,5.08,19,4714.36,5.09,-884.94,-0.96,-1119.02,-1.12,5
25,Entry long,2019-01-02,CB V3,220.06,421,92645.26,4704.62,5.08,19,4714.36,5.09,-884.94,-0.96,-1119.02,-1.12,5
26,Exit long,2019-01-30,2R target,239.65,428,98119,4431.13,4.52,20.07,4441.39,4.53,-305.13,-0.31,3312.12,3.31,13
26,Entry long,2019-01-10,CB V3,229.25,428,98119,4431.13,4.52,20.07,4441.39,4.53,-305.13,-0.31,3312.12,3.31,13
27,Exit long,2019-03-27,1 ATR stop,249.97,408,103056.72,-1089.46,-1.06,20.5,226.33,0.22,-1079.27,-1.05,2222.65,2.22,0
27,Entry long,2019-03-27,CB V3,252.59,408,103056.72,-1089.46,-1.06,20.5,226.33,0.22,-1079.27,-1.05,2222.65,2.22,0
28,Exit long,2019-06-20,2R target,266,392,101884.72,2366.66,2.32,20.62,2377.09,2.33,-312.03,-0.31,4589.32,4.59,4
28,Entry long,2019-06-14,CB V3,259.91,392,101884.72,2366.66,2.32,20.62,2377.09,2.33,-312.03,-0.31,4589.32,4.59,4
29,Exit long,2019-11-01,2R target,277.17,385,104200.25,2489.11,2.39,21.09,2499.78,2.40,-495.52,-0.48,7078.43,7.08,12
29,Entry long,2019-10-16,CB V3,270.65,385,104200.25,2489.11,2.39,21.09,2499.78,2.40,-495.52,-0.48,7078.43,7.08,12
30,Exit long,2020-04-14,2R target,260.25,447,103806.81,12502.93,12.04,22.01,12514.56,12.05,-3859.05,-3.72,19581.35,19.58,11
30,Entry long,2020-03-27,CB V3,232.23,447,103806.81,12502.93,12.04,22.01,12514.56,12.05,-3859.05,-3.72,19581.35,19.58,11
31,Exit short,2020-05-13,Margin call,263.33,4,1049.08,-4.45,-0.42,0.21,0,0.00,-4.34,-0.41,19565.1,19.57,0
31,Entry short,2020-05-13,CB V3,262.27,4,1049.08,-4.45,-0.42,0.21,0,0.00,-4.34,-0.41,19565.1,19.57,0
32,Exit short,2020-05-18,Margin call,268.7,60,15736.2,-388.99,-2.47,3.19,530.63,3.37,-387.37,-2.46,19177.69,19.18,3
32,Entry short,2020-05-13,CB V3,262.27,60,15736.2,-388.99,-2.47,3.19,530.63,3.37,-387.37,-2.46,19177.69,19.18,3
33,Exit short,2020-05-18,1 ATR stop,269.13,390,102285.3,-2696.12,-2.64,20.72,3449.07,3.37,-2685.63,-2.63,16491.79,16.49,3
33,Entry short,2020-05-13,CB V3,262.27,390,102285.3,-2696.12,-2.64,20.72,3449.07,3.37,-2685.63,-2.63,16491.79,16.49,3
34,Exit long,2020-06-03,2R target,285.51,427,116199.51,5689.45,4.90,23.81,5701.64,4.91,-1416.45,-1.22,22181.24,22.18,8
34,Entry long,2020-05-21,CB V3,272.13,427,116199.51,5689.45,4.90,23.81,5701.64,4.91,-1416.45,-1.22,22181.24,22.18,8
35,Exit long,2020-06-24,1 ATR stop,279.4,425,121269.5,-2548.5,-2.10,24,247.12,0.20,-2536.63,-2.09,19632.74,19.63,0
35,Entry long,2020-06-24,CB V3,285.34,425,121269.5,-2548.5,-2.10,24,247.12,0.20,-2536.63,-2.09,19632.74,19.63,0
36,Exit short,2020-07-14,1 ATR stop,294.15,412,118866.12,-2347.69,-1.97,24.01,478.39,0.40,-2335.57,-1.96,17285.05,17.29,0
36,Entry short,2020-07-14,CB V3,288.51,412,118866.12,-2347.69,-1.97,24.01,478.39,0.40,-2335.57,-1.96,17285.05,17.29,0
37,Exit short,2020-10-15,Margin call,321.79,16,5084.48,-65.18,-1.28,1.02,7.81,0.15,-64.67,-1.27,17208.81,17.21,0
37,Entry short,2020-10-15,CB V3,317.78,16,5084.48,-65.18,-1.28,1.02,7.81,0.15,-64.67,-1.27,17208.81,17.21,0
38,Exit short,2020-10-16,1 ATR stop,322.97,348,110587.44,-1828.42,-1.65,22.3,169.9,0.15,-1817.18,-1.64,15391.45,15.39,1
38,Entry short,2020-10-15,CB V3,317.78,348,110587.44,-1828.42,-1.65,22.3,169.9,0.15,-1817.18,-1.64,15391.45,15.39,1
39,Exit long,2020-12-04,2R target,341.75,348,115031.4,3874.2,3.37,23.4,3886.1,3.38,-860.62,-0.75,19265.65,19.27,9
39,Entry long,2020-11-20,CB V3,330.55,348,115031.4,3874.2,3.37,23.4,3886.1,3.38,-860.62,-0.75,19265.65,19.27,9
40,Exit short,2020-12-10,Margin call,340.13,8,2702.48,-19.1,-0.71,0.54,6.61,0.24,-18.83,-0.70,19234.97,19.23,0
40,Entry short,2020-12-10,CB V3,337.81,8,2702.48,-19.1,-0.71,0.54,6.61,0.24,-18.83,-0.70,19234.97,19.23,0
41,Exit short,2020-12-16,1 ATR stop,341.95,343,115868.83,-1443.34,-1.25,23.32,653.83,0.56,-1431.61,-1.24,17803.22,17.80,4
41,Entry short,2020-12-10,CB V3,337.81,343,115868.83,-1443.34,-1.25,23.32,653.83,0.56,-1431.61,-1.24,17803.22,17.80,4
42,Exit short,2021-03-04,Margin call,356.57,16,5663.52,-42.74,-0.75,1.14,0,0.00,-42.17,-0.74,17749.29,17.75,0
42,Entry short,2021-03-04,CB V3,353.97,16,5663.52,-42.74,-0.75,1.14,0,0.00,-42.17,-0.74,17749.29,17.75,0
43,Exit short,2021-03-08,1 ATR stop,359.12,316,111854.52,-1649.93,-1.47,22.53,2728.53,2.44,-1638.59,-1.46,16110.55,16.11,2
43,Entry short,2021-03-04,CB V3,353.97,316,111854.52,-1649.93,-1.47,22.53,2728.53,2.44,-1638.59,-1.46,16110.55,16.11,2
44,Exit long,2021-03-25,1 ATR stop,358.14,317,115407.02,-1899.53,-1.65,22.89,1766.83,1.53,-1888.18,-1.64,14211.01,14.21,9
