Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-01-21 07:30,TX15,590.23,100,58887,-136,-0.23,0,19,0.03,-142,-0.24,-136,-0.14,1
1,Entry short,2025-01-21 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,588.87,100,58887,-136,-0.23,0,19,0.03,-142,-0.24,-136,-0.14,1
2,Exit long,2025-01-22 07:15,TX15,596.52,100,59629,23,0.04,0,41,0.07,-50,-0.08,-113,-0.11,1
2,Entry long,2025-01-22 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,596.29,100,59629,23,0.04,0,41,0.07,-50,-0.08,-113,-0.11,1
3,Exit short,2025-01-24 07:30,TX15,599.09,100,59929,20,0.03,0,29,0.05,-34,-0.06,-93,-0.09,1
3,Entry short,2025-01-24 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,599.29,100,59929,20,0.03,0,29,0.05,-34,-0.06,-93,-0.09,1
4,Exit long,2025-01-27 07:15,TX15,587.65,100,58852,-87,-0.15,0,10,0.02,-118,-0.20,-180,-0.18,1
4,Entry long,2025-01-27 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,588.52,100,58852,-87,-0.15,0,10,0.02,-118,-0.20,-180,-0.18,1
5,Exit long,2025-01-28 07:30,TX15,592.36,100,59071,165,0.28,0,193,0.33,-18,-0.03,-15,-0.01,1
5,Entry long,2025-01-28 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,590.71,100,59071,165,0.28,0,193,0.33,-18,-0.03,-15,-0.01,1
6,Exit long,2025-01-30 07:15,TX15,593.55,100,59478,-123,-0.21,0,0,0.00,-185,-0.31,-138,-0.14,1
6,Entry long,2025-01-30 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,594.78,100,59478,-123,-0.21,0,0,0.00,-185,-0.31,-138,-0.14,1
7,Exit long,2025-01-31 07:15,TX15,598.55,100,59788,67,0.11,0,83,0.14,-7,-0.01,-71,-0.07,1
7,Entry long,2025-01-31 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,597.88,100,59788,67,0.11,0,83,0.14,-7,-0.01,-71,-0.07,1
8,Exit short,2025-02-03 07:30,TX15,586.31,100,58114,-517,-0.89,0,58,0.10,-540,-0.93,-588,-0.59,1
8,Entry short,2025-02-03 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,581.14,100,58114,-517,-0.89,0,58,0.10,-540,-0.93,-588,-0.59,1
9,Exit long,2025-02-04 07:15,TX15,590.39,100,58894,145,0.25,0,188,0.32,-4,-0.01,-443,-0.44,1
9,Entry long,2025-02-04 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,588.94,100,58894,145,0.25,0,188,0.32,-4,-0.01,-443,-0.44,1
10,Exit short,2025-02-05 07:15,TX15,589.82,100,59002,20,0.03,0,151,0.26,-96,-0.16,-423,-0.42,1
10,Entry short,2025-02-05 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,590.02,100,59002,20,0.03,0,151,0.26,-96,-0.16,-423,-0.42,1
11,Exit short,2025-02-06 07:45,TX15,594.54,100,59477,23,0.04,0,56,0.09,-79,-0.13,-400,-0.40,1
11,Entry short,2025-02-06 07:30,C0|S|MKT|15|v0.3.0-tier0|SPY,594.77,100,59477,23,0.04,0,56,0.09,-79,-0.13,-400,-0.40,1
12,Exit long,2025-02-07 07:15,TX15,594.13,100,59754,-341,-0.57,0,4,0.01,-392,-0.66,-741,-0.74,1
12,Entry long,2025-02-07 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,597.54,100,59754,-341,-0.57,0,4,0.01,-392,-0.66,-741,-0.74,1
13,Exit long,2025-02-10 07:30,TX15,594.59,100,59422,37,0.06,0,39,0.07,-29,-0.05,-704,-0.70,1
13,Entry long,2025-02-10 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,594.22,100,59422,37,0.06,0,39,0.07,-29,-0.05,-704,-0.70,1
14,Exit long,2025-02-11 07:45,TX15,594.32,100,59399,33,0.06,0,33,0.06,-16,-0.03,-671,-0.67,1
14,Entry long,2025-02-11 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,593.99,100,59399,33,0.06,0,33,0.06,-16,-0.03,-671,-0.67,1
15,Exit long,2025-02-12 07:15,TX15,589.73,100,59124,-151,-0.26,0,6,0.01,-173,-0.29,-822,-0.82,1
