time,open,high,low,close,regime_code,posture_code,confidence,net_score,bounded_net,votes_cast,direction_code,kill_switch,structure_code,atr14,stop_pct,rr,extension_atr,g1_regime,g2_confidence,g3_direction,g4_structure,g5_stop_defined,g6_stop_distance,g7_rr,g8_NOT_REPRESENTABLE,g9_earnings_failopen,g10_extension,g11_NOT_REPRESENTABLE,soft_fail_count,first_rejection,qualified,watchlist,rejected,qualified_marker
1331044200,105.15543918,105.21757684,104.38628567,104.68928248,3,0,0.125,-1,-1,8,-1,0,3,1.0072660728907066,0.009621482247556054,2.000000000000014,0.6465692933846973,0,0,1,1,1,0,0,-1,1,1,-1,2,2,0,0,1,0
1331130600,104.93012609,105.59050376,104.82911939,105.41958248,4,0,0,0,0,8,0,1,2,0.9996914448270848,0.009482976704226069,2.000000000000014,0.07187007315619376,0,0,0,1,1,0,1,-1,1,1,-1,1,1,0,0,1,0
1331217000,106.06442185,106.68596153,105.84689344,106.46840982,1,0,0.375,3,3,8,1,0,1,1.018740559482293,0.00956847727137676,2,1.0000540969589244,0,0,1,1,1,0,1,-1,1,1,-1,1,2,0,0,1,0
1331303400,106.67041547,107.15986408,106.53833993,106.88019026,1,1,0.75,6,6,8,1,0,1,0.9953629666621292,0.009312885430319481,2,1.3065824027497657,1,1,1,1,1,0,1,-1,1,1,-1,1,7,0,1,0,0
1331559000,106.86464419,107.02778855,106.50726334,106.88795164,3,0,0.125,1,1,8,1,0,1,0.9614459840434059,0.008994895769745598,2,1.2370430848216951,0,0,1,1,1,0,0,-1,1,1,-1,2,2,0,0,1,0
1331645400,107.46287643,108.86908463,107.28417823,108.81625441,1,1,0.5,4,4,8,1,0,1,1.0342807701831631,0.009504837083310878,2.0000000000000138,2.7402906144742034,1,1,1,1,1,0,1,-1,1,0,-1,2,7,0,0,1,0
1331731800,108.84578495,109.11382059,108.36408994,108.69816335,3,0,0.125,1,1,8,1,0,1,1.0139557615986516,0.009328177499501898,2,2.435231603991807,0,0,1,1,1,0,0,-1,1,0,-1,3,2,0,0,1,0
1331818200,108.86131548,109.37407931,108.58161834,109.32746442,1,0,0.25,2,2,8,1,0,1,0.9981347050558903,0.009129770916678225,2,2.8220987608181596,0,0,1,1,1,0,1,-1,1,0,-1,2,2,0,0,1,0
1331904600,109.5255793,109.61921758,109.24466445,109.47876016,1,0,0.375,3,3,8,1,0,1,0.9535931639804692,0.008710302917084767,2,2.8296138383664178,0,0,1,1,1,0,1,-1,1,0,-1,2,2,0,0,1,0
1332163800,109.40853925,110.24347281,109.33049954,109.90794343,1,1,0.5,4,4,8,1,0,1,0.9506917429818639,0.008649891111713435,2.000000000000015,2.9906297235749864,1,1,1,1,1,0,1,-1,1,0,-1,2,7,0,0,1,0
1332250200,109.2836804,109.72065905,108.96374959,109.58800482,3,0,0,0,0,8,0,0,1,0.9502276070545876,0.008670908906639461,2,2.413994247068386,0,0,0,1,1,0,0,-1,1,0,-1,3,2,0,0,1,0
1332336600,109.65043034,109.75186401,109.18223892,109.40853925,1,0,0.25,2,2,8,1,0,1,0.9230417129792601,0.008436651465294612,2.0000000000000155,2.0824218028327843,0,0,1,1,1,0,1,-1,1,0,-1,2,2,0,0,1,0
1332423000,108.60479504,108.89352088,108.26147027,108.62040922,3,0,0.125,1,1,8,1,0,2,0.9390436606235986,0.008645186179713755,2,1.0978598426393953,0,0,1,1,1,0,0,-1,1,1,-1,2,2,0,0,1,0
1332509400,108.71405531,109.09640383,108.11320185,108.97154498,1,1,0.5,4,4,8,1,0,1,0.9421978262933418,0.008646273910003418,2.000000000000015,1.3335108103000806,1,1,1,1,1,0,1,-1,1,1,-1,1,7,0,1,0,0
1332768600,109.75186401,110.50097809,109.71286367,110.50097809,1,1,0.625,5,5,8,1,0,1,0.9841432037009602,0.008906194503540134,1.9999999999999856,2.573409758704475,1,1,1,1,1,0,1,-1,1,0,-1,2,7,0,0,1,0
1332855000,110.60242736,110.67264827,110.087409,110.15763771,1,0,0.375,3,3,8,1,0,1,0.9556500655794632,0.008675295562304067,2,2.082602697006017,0,0,1,1,1,0,1,-1,1,0,-1,2,2,0,0,1,0
1332941400,110.10302318,110.27469337,108.96374959,109.61141439,2,0,0.25,-2,-2,8,-1,0,1,0.9810281880380721,0.0089500550056543,2.0000000000000147,1.338128619059629,0,0,1,1,1,0,1,-1,1,1,-1,1,2,0,0,1,0
1333027800,108.96374959,109.62966605,108.53457413,109.42413782,1,0,0.25,2,2,8,1,0,1,0.9891755974639242,0.00903982994219334,2,1.0343464776522013,0,0,1,1,1,0,1,-1,1,1,-1,1,2,0,0,1,0
1333114200,109.96255795,110.06399943,109.2836804,109.87672286,3,0,0.125,1,1,8,1,0,1,0.9742572712165012,0.00886682134174912,2,1.3770259837141503,0,0,1,1,1,0,0,-1,1,1,-1,2,2,0,0,1,0
1333373400,109.74406863,110.96917731,109.5255793,110.68045146,1,1,0.75,6,6,8,1,0,1,1.007781609701037,0.009105326156581989,1.9999999999999858,1.9352192223146987,1,1,1,1,1,0,1,-1,1,0,-1,2,7,0,0,1,0
1333459800,110.52438766,110.71369305,109.58019383,110.22785862,3,0,0,0,0,8,0,0,1,1.0167614390081061,0.009224178458490197,2,1.339087246239893,0,0,0,1,1,0,0,-1,1,1,-1,2,2,0,0,1,0
1333546200,109.41633463,109.5091926,108.72965388,109.13541978,2,0,0.25,-2,-2,8,-1,0,2,1.0511502462218132,0.009631614084050477,2.0000000000000133,0.2327263840138176,0,0,1,1,1,0,1,-1,1,1,-1,1,2,0,0,1,0
1333632600,108.76086665,109.40072825,108.66722056,109.08078965,3,0,0.125,1,1,8,1,0,2,1.0284614922059692,0.009428438275024563,2.0000000000000138,0.16794747856457154,0,0,1,1,1,0,0,-1,1,1,-1,2,2,0,0,1,0
1333978200,107.70743595,109.12325461,107.55917534,107.85569657,2,0,0.25,-2,-2,8,-1,0,0,1.0667199049055434,0.009890250944818869,2.0000000000000133,0.8968577077379599,0,0,1,0,1,0,1,-1,1,1,-1,1,2,0,0,1,0
1334064600,107.64501043,107.94933485,105.93610395,106.04534861,2,0,0.25,-2,-2,8,-1,0,3,1.1343278331265758,0.010696629772025758,2,2.2176080028943534,0,0,1,1,1,1,1,-1,1,0,-1,1,2,0,0,1,0
1334151000,107.12999207,107.32507182,106.70862759,106.90370735,3,0,0.125,1,1,8,1,0,4,1.1447132171889634,0.010707890732369113,2,1.316038824686176,0,0,1,1,1,1,0,-1,1,1,-1,1,2,0,0,1,0
1334237400,107.00514882,108.38630571,106.92711692,108.30047061,1,0,0.375,3,3,8,1,0,4,1.1688478702468943,0.010792638883869875,2,0.08533949599206206,0,0,1,1,1,1,1,-1,1,1,-1,0,2,0,0,1,0
1334323800,108.05077633,108.32139097,106.91150274,107.01295201,3,0,0.125,1,1,8,1,0,0,1.186065038800687,0.011083378381056695,1.999999999999988,1.0633078462704846,0,0,1,0,1,1,0,-1,1,1,-1,1,2,0,0,1,0
