run_id,symbol,cohort,timeframe,chart_hours,event_session,exit,direction,script,or_mins,cutoff_mins,hold_mins,ema_fast,ema_slow,chop_bars,rvol_lookback,rvol_min_samples,rvol_floor,rvol_hot,require_rvol_history,scored_start,scored_end,loaded_start,loaded_end,first_trade,last_trade,n,retention_pct,n_long,n_short,mean_bps,median_bps,sd_bps,t_stat,ci_halfwidth_bps,ci_lo,ci_hi,boot_lo,boot_hi,bootstrap_method,bootstrap_resamples,bootstrap_seed,win_pct,avg_win_bps,avg_loss_bps,profit_factor_bps,mean_bps_ex_top5,top5_gross_profit_pct,mean_mfe_pct,mean_mae_pct,long_mean_bps,short_mean_bps,max_dd_bps,total_bps,commission,slippage_ticks,note
ORB-T0_SPY_C0_15m_ETH-ON_TX30_Both_trades-2025-12-15_2026-07-22_v0.2.x,AMEX:SPY,C0,15m,ETH-ON,RTH-only by construction,TX30,Both,v0.2.x,15.0,60.0,30.0,9.0,20.0,6.0,20.0,10.0,0.0,1.5,True,unset (full),unset (full),NOT RECORDED (pre-v0.3.0),NOT RECORDED (pre-v0.3.0),2025-12-15,2026-07-22,124,,74,50,-0.961,-1.005,22.92,-0.47,4.03,-4.99,3.07,-4.84,3.71,monthly block,20000,7,46.8,16.1,-15.9,0.887,-3.1,26.8,0.152,-0.188,-1.35,-0.38,326.0,-119.0,$0,1,results are NET of 1 tick/order emulator slippage (~0.31 bps/round-trip); not gross
ORB-T0_SPY_C0_5m_RTH_TX30_Both_trades-2026-01-27_2026-07-22_v0.2.x,AMEX:SPY,C0,5m,RTH,RTH-only by construction,TX30,Both,v0.2.x,15.0,60.0,30.0,9.0,20.0,6.0,20.0,10.0,0.0,1.5,True,unset (full),unset (full),NOT RECORDED (pre-v0.3.0),NOT RECORDED (pre-v0.3.0),2026-01-27,2026-07-22,111,,67,44,-0.168,1.175,24.81,-0.07,4.62,-4.78,4.45,-6.22,6.26,monthly block,20000,7,51.4,17.2,-18.5,0.981,-2.79,28.2,0.175,-0.197,0.43,-1.07,399.0,-19.0,$0,1,results are NET of 1 tick/order emulator slippage (~0.31 bps/round-trip); not gross
ORB-T0_SPY_C0_15m_RTH_TX30_Both_trades-2025-01-21_2026-07-22_v0.2.x,AMEX:SPY,C0,15m,RTH,RTH-only by construction,TX30,Both,v0.2.x,15.0,60.0,30.0,9.0,20.0,6.0,20.0,10.0,0.0,1.5,True,unset (full),unset (full),NOT RECORDED (pre-v0.3.0),NOT RECORDED (pre-v0.3.0),2025-01-21,2026-07-22,318,100.0,176,142,-1.203,-0.362,25.66,-0.84,2.82,-4.02,1.62,-3.66,1.56,monthly block,20000,7,49.1,16.6,-18.4,0.872,-2.38,13.9,0.181,-0.188,0.31,-3.08,627.0,-383.0,$0,1,results are NET of 1 tick/order emulator slippage (~0.31 bps/round-trip); not gross
ORB-T0_SPY_C1_15m_RTH_TX30_Both_trades-2025-01-21_2026-07-22_v0.2.x,AMEX:SPY,C1,15m,RTH,RTH-only by construction,TX30,Both,v0.2.x,15.0,60.0,30.0,9.0,20.0,6.0,20.0,10.0,0.0,1.5,True,unset (full),unset (full),NOT RECORDED (pre-v0.3.0),NOT RECORDED (pre-v0.3.0),2025-01-21,2026-07-22,318,100.0,176,142,-1.203,-0.362,25.66,-0.84,2.82,-4.02,1.62,-3.66,1.56,monthly block,20000,7,49.1,16.6,-18.4,0.872,-2.38,13.9,0.181,-0.188,0.31,-3.08,627.0,-383.0,$0,1,results are NET of 1 tick/order emulator slippage (~0.31 bps/round-trip); not gross
ORB-T0_SPY_C2_15m_RTH_TX30_Both_trades-2025-01-22_2026-07-22_v0.2.x,AMEX:SPY,C2,15m,RTH,RTH-only by construction,TX30,Both,v0.2.x,15.0,60.0,30.0,9.0,20.0,6.0,20.0,10.0,0.0,1.5,True,unset (full),unset (full),NOT RECORDED (pre-v0.3.0),NOT RECORDED (pre-v0.3.0),2025-01-22,2026-07-22,188,59.1,117,71,-1.207,-0.964,26.39,-0.63,3.77,-4.98,2.56,-4.25,1.88,monthly block,20000,7,47.3,17.3,-17.8,0.871,-3.07,21.9,0.164,-0.187,0.1,-3.36,405.0,-227.0,$0,1,results are NET of 1 tick/order emulator slippage (~0.31 bps/round-trip); not gross
ORB-T0_SPY_C3_15m_RTH_TX30_Both_trades-2025-01-22_2026-07-22_v0.2.x,AMEX:SPY,C3,15m,RTH,RTH-only by construction,TX30,Both,v0.2.x,15.0,60.0,30.0,9.0,20.0,6.0,20.0,10.0,0.0,1.5,True,unset (full),unset (full),NOT RECORDED (pre-v0.3.0),NOT RECORDED (pre-v0.3.0),2025-01-22,2026-07-22,97,30.5,63,34,-1.712,-0.435,29.38,-0.57,5.85,-7.56,4.13,-6.39,3.26,monthly block,20000,7,47.4,18.1,-19.6,0.834,-5.16,37.0,0.161,-0.19,-0.14,-4.62,310.0,-166.0,$0,1,results are NET of 1 tick/order emulator slippage (~0.31 bps/round-trip); not gross
ORB-T0_SPY_C4_15m_RTH_TX30_Both_trades-2025-01-27_2026-06-25_v0.2.x,AMEX:SPY,C4,15m,RTH,RTH-only by construction,TX30,Both,v0.2.x,15.0,60.0,30.0,9.0,20.0,6.0,20.0,10.0,0.0,1.5,True,unset (full),unset (full),NOT RECORDED (pre-v0.3.0),NOT RECORDED (pre-v0.3.0),2025-01-27,2026-06-25,50,15.7,23,27,1.084,3.448,32.75,0.23,9.08,-8.0,10.16,-7.69,9.86,monthly block,20000,7,54.0,21.3,-22.7,1.104,-5.12,49.5,0.322,-0.238,3.7,-1.15,130.0,54.0,$0,1,results are NET of 1 tick/order emulator slippage (~0.31 bps/round-trip); not gross
ORB-T0_SPY_C5_15m_RTH_TX30_Both_trades-2025-02-03_2026-06-25_v0.2.x,AMEX:SPY,C5,15m,RTH,RTH-only by construction,TX30,Both,v0.2.x,15.0,60.0,30.0,9.0,20.0,6.0,20.0,10.0,0.0,1.5,True,unset (full),unset (full),NOT RECORDED (pre-v0.3.0),NOT RECORDED (pre-v0.3.0),2025-02-03,2026-06-25,17,5.3,3,14,-2.83,-1.46,50.76,-0.23,24.13,-26.96,21.3,-22.0,17.13,monthly block,20000,7,47.1,36.9,-38.2,0.86,-25.15,85.9,0.308,-0.322,-1.38,-3.14,106.0,-48.0,$0,1,results are NET of 1 tick/order emulator slippage (~0.31 bps/round-trip); not gross
ORB-T0_SPY_C0_15m_RTH_TX15_Both_trades-2025-01-21_2026-07-22_v0.3.0,AMEX:SPY,C0,15m,RTH,RTH-only by construction; cutoff INCLUSIVE of bar closing 10:30 ET,TX15,Both,v0.3.0,15.0,60.0,15.0,9.0,20.0,6.0,20.0,10.0,0.0,1.5,True,unset (full),unset (full),2025-01-21,2026-07-22,2025-01-21,2026-07-22,318,100.0,176,142,0.142,-1.251,26.85,0.09,2.95,-2.81,3.09,-2.25,3.13,monthly block,20000,7,46.2,14.8,-12.5,1.021,-1.56,24.5,0.137,-0.133,2.5,-2.78,392.0,45.0,$0,0,GENERATION 2: gross (0 slippage). Cutoff inclusive of 10:30 close. Not comparable to v0.2.x rows.
ORB-T0_SPY_C0_15m_RTH_TX30_Both_trades-2025-01-21_2026-07-22_v0.3.0,AMEX:SPY,C0,15m,RTH,RTH-only by construction; cutoff INCLUSIVE of bar closing 10:30 ET,TX30,Both,v0.3.0,15.0,60.0,30.0,9.0,20.0,6.0,20.0,10.0,0.0,1.5,True,unset (full),unset (full),2025-01-21,2026-07-22,2025-01-21,2026-07-22,318,100.0,176,142,-0.89,-0.073,25.66,-0.62,2.82,-3.71,1.93,-3.35,1.87,monthly block,20000,7,49.7,16.7,-18.3,0.903,-2.07,13.7,0.182,-0.187,0.62,-2.77,549.0,-283.0,$0,0,GENERATION 2: gross (0 slippage). Cutoff inclusive of 10:30 close. Not comparable to v0.2.x rows.
