Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-01-21 07:45,TX30,590.27,100,58887,-140,-0.24,0,19,0.03,-163,-0.28,-140,-0.14,2
1,Entry short,2025-01-21 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,588.87,100,58887,-140,-0.24,0,19,0.03,-163,-0.28,-140,-0.14,2
2,Exit long,2025-01-22 07:30,TX30,596.51,100,59629,22,0.04,0,54,0.09,-50,-0.08,-118,-0.12,2
2,Entry long,2025-01-22 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,596.29,100,59629,22,0.04,0,54,0.09,-50,-0.08,-118,-0.12,2
3,Exit short,2025-01-24 07:45,TX30,599.02,100,59929,27,0.05,0,48,0.08,-34,-0.06,-91,-0.09,2
3,Entry short,2025-01-24 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,599.29,100,59929,27,0.05,0,48,0.08,-34,-0.06,-91,-0.09,2
4,Exit long,2025-01-27 07:30,TX30,588.9,100,58852,38,0.06,0,60,0.10,-189,-0.32,-53,-0.05,2
4,Entry long,2025-01-27 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,588.52,100,58852,38,0.06,0,60,0.10,-189,-0.32,-53,-0.05,2
5,Exit long,2025-01-28 07:45,TX30,592.22,100,59071,151,0.26,0,193,0.33,-18,-0.03,98,0.10,2
5,Entry long,2025-01-28 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,590.71,100,59071,151,0.26,0,193,0.33,-18,-0.03,98,0.10,2
6,Exit long,2025-01-30 07:30,TX30,592.5,100,59478,-228,-0.38,0,0,0.00,-251,-0.42,-130,-0.13,2
6,Entry long,2025-01-30 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,594.78,100,59478,-228,-0.38,0,0,0.00,-251,-0.42,-130,-0.13,2
7,Exit long,2025-01-31 07:30,TX30,598.71,100,59788,83,0.14,0,89,0.15,-7,-0.01,-47,-0.05,2
7,Entry long,2025-01-31 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,597.88,100,59788,83,0.14,0,89,0.15,-7,-0.01,-47,-0.05,2
8,Exit short,2025-02-03 07:45,TX30,588.06,100,58114,-692,-1.19,0,58,0.10,-743,-1.28,-739,-0.74,2
8,Entry short,2025-02-03 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,581.14,100,58114,-692,-1.19,0,58,0.10,-743,-1.28,-739,-0.74,2
9,Exit long,2025-02-04 07:30,TX30,590.41,100,58894,147,0.25,0,208,0.35,-4,-0.01,-592,-0.59,2
9,Entry long,2025-02-04 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,588.94,100,58894,147,0.25,0,208,0.35,-4,-0.01,-592,-0.59,2
10,Exit short,2025-02-05 07:30,TX30,590.51,100,59002,-49,-0.08,0,151,0.26,-96,-0.16,-641,-0.64,2
10,Entry short,2025-02-05 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,590.02,100,59002,-49,-0.08,0,151,0.26,-96,-0.16,-641,-0.64,2
11,Exit short,2025-02-06 08:00,TX30,594.45,100,59477,32,0.05,0,78,0.13,-79,-0.13,-609,-0.61,2
11,Entry short,2025-02-06 07:30,C0|S|MKT|15|v0.3.0-tier0|SPY,594.77,100,59477,32,0.05,0,78,0.13,-79,-0.13,-609,-0.61,2
12,Exit long,2025-02-07 07:30,TX30,594.39,100,59754,-315,-0.53,0,4,0.01,-392,-0.66,-924,-0.92,2
12,Entry long,2025-02-07 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,597.54,100,59754,-315,-0.53,0,4,0.01,-392,-0.66,-924,-0.92,2
13,Exit long,2025-02-10 07:45,TX30,594.65,100,59422,43,0.07,0,58,0.10,-29,-0.05,-881,-0.88,2
13,Entry long,2025-02-10 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,594.22,100,59422,43,0.07,0,58,0.10,-29,-0.05,-881,-0.88,2
14,Exit long,2025-02-11 08:00,TX30,594.54,100,59399,55,0.09,0,105,0.18,-16,-0.03,-826,-0.83,2
14,Entry long,2025-02-11 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,593.99,100,59399,55,0.09,0,105,0.18,-16,-0.03,-826,-0.83,2
15,Exit long,2025-02-12 07:30,TX30,591.33,100,59124,9,0.02,0,98,0.17,-173,-0.29,-817,-0.82,2
15,Entry long,2025-02-12 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,591.24,100,59124,9,0.02,0,98,0.17,-173,-0.29,-817,-0.82,2
16,Exit long,2025-02-13 07:45,TX30,597.03,100,59510,193,0.32,0,217,0.36,0,0.00,-624,-0.62,2
16,Entry long,2025-02-13 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,595.1,100,59510,193,0.32,0,217,0.36,0,0.00,-624,-0.62,2
17,Exit long,2025-02-14 07:45,TX30,599.81,100,60038,-57,-0.09,0,12,0.02,-91,-0.15,-681,-0.68,2
