Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-01-27 07:30,TX30,588.89,100,58853,36,0.06,0,59,0.10,-190,-0.32,36,0.04,2
1,Entry long,2025-01-27 07:00,C4|L|MKT|15,588.53,100,58853,36,0.06,0,59,0.10,-190,-0.32,36,0.04,2
2,Exit short,2025-02-03 07:45,TX30,588.07,100,58113,-694,-1.19,0,57,0.10,-744,-1.28,-658,-0.66,2
2,Entry short,2025-02-03 07:15,C4|S|MKT|15,581.13,100,58113,-694,-1.19,0,57,0.10,-744,-1.28,-658,-0.66,2
3,Exit short,2025-02-20 07:30,TX30,598.78,100,59815,-63,-0.11,0,135,0.23,-95,-0.16,-721,-0.72,2
3,Entry short,2025-02-20 07:00,C4|S|MKT|15,598.15,100,59815,-63,-0.11,0,135,0.23,-95,-0.16,-721,-0.72,2
4,Exit short,2025-02-24 07:30,TX30,587.87,100,58867,80,0.14,0,223,0.38,-68,-0.12,-641,-0.64,2
4,Entry short,2025-02-24 07:00,C4|S|MKT|15,588.67,100,58867,80,0.14,0,223,0.38,-68,-0.12,-641,-0.64,2
5,Exit short,2025-02-25 07:30,TX30,580.91,100,58523,432,0.74,0,450,0.77,-3,-0.01,-209,-0.21,2
5,Entry short,2025-02-25 07:00,C4|S|MKT|15,585.23,100,58523,432,0.74,0,450,0.77,-3,-0.01,-209,-0.21,2
6,Exit short,2025-02-27 07:30,TX30,585.44,100,58245,-299,-0.51,0,187,0.32,-403,-0.69,-508,-0.51,2
6,Entry short,2025-02-27 07:00,C4|S|MKT|15,582.45,100,58245,-299,-0.51,0,187,0.32,-403,-0.69,-508,-0.51,2
7,Exit short,2025-03-03 07:30,TX30,584.1,100,58278,-132,-0.23,0,203,0.35,-135,-0.23,-640,-0.64,2
7,Entry short,2025-03-03 07:00,C4|S|MKT|15,582.78,100,58278,-132,-0.23,0,203,0.35,-135,-0.23,-640,-0.64,2
8,Exit short,2025-03-04 07:30,TX30,564.86,100,56600,114,0.20,0,339,0.60,-47,-0.08,-526,-0.53,2
8,Entry short,2025-03-04 07:00,C4|S|MKT|15,566,100,56600,114,0.20,0,339,0.60,-47,-0.08,-526,-0.53,2
9,Exit short,2025-03-05 07:30,TX30,566.29,100,56614,-15,-0.03,0,42,0.07,-374,-0.66,-541,-0.54,2
9,Entry short,2025-03-05 07:00,C4|S|MKT|15,566.14,100,56614,-15,-0.03,0,42,0.07,-374,-0.66,-541,-0.54,2
10,Exit short,2025-03-11 07:45,TX30,545.91,100,54860,269,0.49,0,388,0.71,-85,-0.15,-272,-0.27,2
10,Entry short,2025-03-11 07:15,C4|S|MKT|15,548.6,100,54860,269,0.49,0,388,0.71,-85,-0.15,-272,-0.27,2
11,Exit short,2025-03-12 07:30,TX30,549.66,100,55004,38,0.07,0,146,0.27,-109,-0.20,-234,-0.23,2
11,Entry short,2025-03-12 07:00,C4|S|MKT|15,550.04,100,55004,38,0.07,0,146,0.27,-109,-0.20,-234,-0.23,2
12,Exit short,2025-04-03 07:45,TX30,534.68,100,53514,46,0.09,0,108,0.20,-120,-0.22,-188,-0.19,2
12,Entry short,2025-04-03 07:15,C4|S|MKT|15,535.14,100,53514,46,0.09,0,108,0.20,-120,-0.22,-188,-0.19,2
13,Exit short,2025-04-04 07:45,TX30,507.49,100,51116,367,0.72,0,389,0.76,-108,-0.21,179,0.18,2
13,Entry short,2025-04-04 07:15,C4|S|MKT|15,511.16,100,51116,367,0.72,0,389,0.76,-108,-0.21,179,0.18,2
14,Exit long,2025-04-07 07:30,TX30,491.33,100,48879,254,0.52,0,2707,5.54,-228,-0.47,433,0.43,2
14,Entry long,2025-04-07 07:00,C4|L|MKT|15,488.79,100,48879,254,0.52,0,2707,5.54,-228,-0.47,433,0.43,2
15,Exit long,2025-04-08 07:30,TX30,516.09,100,51534,75,0.15,0,237,0.46,-42,-0.08,508,0.51,2
15,Entry long,2025-04-08 07:00,C4|L|MKT|15,515.34,100,51534,75,0.15,0,237,0.46,-42,-0.08,508,0.51,2
16,Exit long,2025-05-21 07:45,TX30,581.13,100,58183,-70,-0.12,0,53,0.09,-83,-0.14,438,0.44,2
16,Entry long,2025-05-21 07:15,C4|L|MKT|15,581.83,100,58183,-70,-0.12,0,53,0.09,-83,-0.14,438,0.44,2
17,Exit long,2025-05-22 07:30,TX30,574.75,100,57611,-136,-0.24,0,94,0.16,-168,-0.29,302,0.30,2
17,Entry long,2025-05-22 07:00,C4|L|MKT|15,576.11,100,57611,-136,-0.24,0,94,0.16,-168,-0.29,302,0.30,2
18,Exit long,2025-05-23 07:45,TX30,570.38,100,57024,14,0.02,0,46,0.08,-131,-0.23,316,0.32,2
18,Entry long,2025-05-23 07:15,C4|L|MKT|15,570.24,100,57024,14,0.02,0,46,0.08,-131,-0.23,316,0.32,2
19,Exit long,2025-05-27 07:45,TX30,579.94,100,57891,103,0.18,0,119,0.21,-8,-0.01,419,0.42,2
