Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2010-01-19 07:30,TX30,85.38,100,8524,14,0.16,0,25,0.29,-1,-0.01,14,0.01,2
1,Entry long,2010-01-19 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,85.24,100,8524,14,0.16,0,25,0.29,-1,-0.01,14,0.01,2
2,Exit short,2010-01-20 07:45,TX30,84.76,100,8485,9,0.11,0,24,0.28,-7,-0.08,23,0.02,2
2,Entry short,2010-01-20 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,84.85,100,8485,9,0.11,0,24,0.28,-7,-0.08,23,0.02,2
3,Exit short,2010-01-21 07:30,TX30,84.12,100,8497,85,1.00,0,86,1.01,-21,-0.25,108,0.11,2
3,Entry short,2010-01-21 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,84.97,100,8497,85,1.00,0,86,1.01,-21,-0.25,108,0.11,2
4,Exit short,2010-01-22 07:45,TX30,83.02,100,8268,-34,-0.41,0,17,0.21,-48,-0.58,74,0.07,2
4,Entry short,2010-01-22 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,82.68,100,8268,-34,-0.41,0,17,0.21,-48,-0.58,74,0.07,2
5,Exit short,2010-01-25 07:45,TX30,81.95,100,8185,-10,-0.12,0,0,0.00,-38,-0.46,64,0.06,2
5,Entry short,2010-01-25 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,81.85,100,8185,-10,-0.12,0,0,0.00,-38,-0.46,64,0.06,2
6,Exit long,2010-01-26 07:45,TX30,81.94,100,8204,-10,-0.12,0,10,0.12,-21,-0.26,54,0.05,2
6,Entry long,2010-01-26 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,82.04,100,8204,-10,-0.12,0,10,0.12,-21,-0.26,54,0.05,2
7,Exit short,2010-01-28 07:45,TX30,81.57,100,8149,-8,-0.10,0,13,0.16,-16,-0.20,46,0.05,2
7,Entry short,2010-01-28 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,81.49,100,8149,-8,-0.10,0,13,0.16,-16,-0.20,46,0.05,2
8,Exit long,2010-01-29 07:30,TX30,81.85,100,8159,26,0.32,0,32,0.39,-23,-0.28,72,0.07,2
8,Entry long,2010-01-29 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,81.59,100,8159,26,0.32,0,32,0.39,-23,-0.28,72,0.07,2
9,Exit long,2010-02-01 07:45,TX30,81.03,100,8100,3,0.04,0,20,0.25,-3,-0.04,75,0.08,2
9,Entry long,2010-02-01 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,81,100,8100,3,0.04,0,20,0.25,-3,-0.04,75,0.08,2
10,Exit long,2010-02-02 08:00,TX30,81.99,100,8188,11,0.13,0,21,0.26,0,0.00,86,0.09,2
10,Entry long,2010-02-02 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,81.88,100,8188,11,0.13,0,21,0.26,0,0.00,86,0.09,2
11,Exit long,2010-02-03 07:30,TX30,81.98,100,8236,-38,-0.46,0,0,0.00,-39,-0.47,48,0.05,2
11,Entry long,2010-02-03 07:00,C0|L|MKT|15|v0.3.0-tier0|SPY,82.36,100,8236,-38,-0.46,0,0,0.00,-39,-0.47,48,0.05,2
12,Exit short,2010-02-04 07:30,TX30,80.29,100,8057,28,0.35,0,34,0.42,-16,-0.20,76,0.08,2
12,Entry short,2010-02-04 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,80.57,100,8057,28,0.35,0,34,0.42,-16,-0.20,76,0.08,2
13,Exit short,2010-02-05 07:30,TX30,79.38,100,7910,-28,-0.35,0,22,0.28,-38,-0.48,48,0.05,2
13,Entry short,2010-02-05 07:00,C0|S|MKT|15|v0.3.0-tier0|SPY,79.1,100,7910,-28,-0.35,0,22,0.28,-38,-0.48,48,0.05,2
14,Exit long,2010-02-08 07:45,TX30,79.66,100,7970,-4,-0.05,0,8,0.10,-22,-0.28,44,0.04,2
14,Entry long,2010-02-08 07:15,C0|L|MKT|15|v0.3.0-tier0|SPY,79.7,100,7970,-4,-0.05,0,8,0.10,-22,-0.28,44,0.04,2
15,Exit short,2010-02-10 07:45,TX30,79.48,100,7942,-6,-0.08,0,23,0.29,-14,-0.18,38,0.04,2
15,Entry short,2010-02-10 07:15,C0|S|MKT|15|v0.3.0-tier0|SPY,79.42,100,7942,-6,-0.08,0,23,0.29,-14,-0.18,38,0.04,2
16,Exit long,2010-02-11 08:00,TX30,79.59,100,7986,-27,-0.34,0,1,0.01,-34,-0.43,11,0.01,2
16,Entry long,2010-02-11 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,79.86,100,7986,-27,-0.34,0,1,0.01,-34,-0.43,11,0.01,2
17,Exit long,2010-02-12 08:00,TX30,79.79,100,7992,-13,-0.16,0,9,0.11,-28,-0.35,-2,0.00,2
17,Entry long,2010-02-12 07:30,C0|L|MKT|15|v0.3.0-tier0|SPY,79.92,100,7992,-13,-0.16,0,9,0.11,-28,-0.35,-2,0.00,2
18,Exit long,2010-02-18 07:30,TX30,82.29,100,8243,-14,-0.17,0,15,0.18,-19,-0.23,-16,-0.02,2
