run_id,run_date,family,budget_class,symbol,timeframe,session,timezone,chart_data_convention,extended_hours,date_window_start,date_window_end,embargo_desc,source_status,script_file,script_sha256,trials_planned,dsr_threshold_implied,tv_account,tv_capture_method,export_file,export_sha256,bars_evaluated,n_trades,vwap_state,acceptance_result,notes
VWAP_VDC_SPY_5m_RTH_dev_2024-09-03_2025-12-31_v0,2026-08-25,VDC,development,AMEX:SPY,5m,RTH,America/New_York (exchange),ADJ (dividend-adjusted),OFF,2024-09-03,2025-12-31,"2026-01-02 + 2026-01-05 (charter A3)",INGESTED@scripts/VWAP_Continuation_FastAlpha_v0.pine,c476429225c2ba4abb7c91d370f3abde893d9e4afe83a41ac8a0069e342c6c9e,18,"daily SR 0.1014 (ann ~1.61) at N=18 T=334 sessions",owner (plan tier UNRECORDED),"owner TV UI export (List-of-Trades CSV + chart-data CSV); properties owner-attested in R0 charge 2026-08-25; screenshots reported but files not supplied",exports/VWAP_VDC_SPY_5m_RTH_dev_2024-09-03_2025-12-31_v0.csv,8d2db8dc78bec56594dd26d8a3020eb3c73c2a9dc976cdd421191f8827751241,"TV loaded-bar range UNRECORDED; local dev-window 5m RTH bars 25877 over 334 sessions",1331,none (naked VDC v0),"n/a — reference capture, no acceptance test","R0 naked development reference; INTERPRETED at capture (budget draw 1/18 VDC-dev); PF 1.0401 net +25.69 REFERENCE-ONLY; manifest manifests/RUN_VDC_SPY_5m_dev_R0_v1.0.md; companion chart-data export TV_CHARTDATA_BATS_SPY_5m_RTH_2025-08-11_2026-08-25_FastAlphaV0.csv sha256 9e0a49183edbb165a760b5bc4f56a79d9710b205e71d623c3dc2328792a14dfc (BATS-chart feed seam recorded in manifest); parity pass analysis/parity_r0_pass.py"
VWAP_VDC_SPY_5m_RTH_dev_2024-09-03_2025-12-31_v0R1,2026-08-26,VDC,development,AMEX:SPY,5m,RTH,America/New_York (exchange),ADJ (dividend-adjusted),OFF,2024-09-03,2025-12-31,2026-01-02 + 2026-01-05 (charter A3),INGESTED@scripts/VWAP_Continuation_FastAlpha_v0_R1_instrumented_v1.0.pine,scripts/VWAP_Continuation_FastAlpha_v0_R1_instrumented_v1.0.pine,32aaaa4d2148186774921c8529c5ab3600bfe4110ffff2fd0213a6631ff72bc4,18,daily SR 0.1014 (ann ~1.61) at N=18 T=334 sessions,owner (plan tier UNRECORDED),owner TV UI export (List-of-Trades CSV + chart-data CSV); R1 instrumented source short-title VWAP FastAlpha v0R1; properties per R1 manifest; chart-data a 300-bar visible-window sample 2026-08-21..2026-08-26,exports/VWAP_VDC_SPY_5m_RTH_dev_2024-09-03_2025-12-31_v0R1.csv,8d2db8dc78bec56594dd26d8a3020eb3c73c2a9dc976cdd421191f8827751241,chart-data header-only checked (300-bar sample); trade-list dev window 2024-09-03..2025-12-31,1331,SEALED-UNINTERPRETED (not inspected),n/a — SEALED-UNINTERPRETED; mechanical R0/R1 identity gate only,"R1 instrumented development capture. SEALED-UNINTERPRETED (A1.7): performance summary not inspected, no PVAE terciles, validation/holdout untouched. Mechanical R0/R1 identity gate PASS (A1.8): trade list byte-identical to R0 export (sha256 8d2db8dc...), 1331 trades, side/timestamps/prices/P&L identical under pre-registered normalization; R1 ADMISSIBLE. Chart-data header check PASS: Volume + all 10 instrumentation columns present; companion export TV_CHARTDATA_BATS_SPY_5m_RTH_2026-08-21_2026-08-26_FastAlphaV0R1_instrumented_sample.csv sha256 e0e3d432203cceb5673eb726fe56f0ee14412d5d09ebda018817ffea65870df4 (BATS-chart feed seam; 300-bar visible-window sample, header-only read). NO §9 budget draw at capture (draw recorded at first unsealing). Corrected re-capture; first failed capture recorded in manifest Amendment 1. Manifest manifests/RUN_VDC_SPY_5m_dev_R1_v1.0.md Amendment 2."
VWAP_VDC_SPY_5m_RTH_dev_2024-09-03_2025-12-31_v0R1_UNSEAL_PVAE,2026-08-26,VDC,development,AMEX:SPY,5m,RTH,America/New_York (exchange),ADJ (dividend-adjusted),OFF,2024-09-03,2025-12-31,2026-01-02 + 2026-01-05 (charter A3),INGESTED@scripts/VWAP_Continuation_FastAlpha_v0_R1_instrumented_v1.0.pine,scripts/VWAP_Continuation_FastAlpha_v0_R1_instrumented_v1.0.pine,32aaaa4d2148186774921c8529c5ab3600bfe4110ffff2fd0213a6631ff72bc4,18,daily SR 0.1014 (ann ~1.61) at N=18 T=334 sessions,owner (plan tier UNRECORDED),offline PVAE development analysis of the admissible R1 trade set (no new TV run); covariates from frozen local R1 instrumentation mirror; analysis/pvae_dev_analysis_r1_v1.0.py,exports/VWAP_VDC_SPY_5m_RTH_dev_2024-09-03_2025-12-31_v0R1.csv,8d2db8dc78bec56594dd26d8a3020eb3c73c2a9dc976cdd421191f8827751241,1331 dev trades joined to signal bars (fill-5m); tercile from 1330 defined entry S_t,1331,PVAE N=263 / non-PVAE N=1068 (frozen A1 classification),"SYMMETRIC PVAE PARKED (rule C: long contrast -0.0824, short +0.1074 disagree); validation NOT earned","FIRST UNSEALING of the R1 SEALED-UNINTERPRETED capture (A1.7 dated draw) — interpreted VDC-dev budget draw, NOT a new capture; R1 SEALED row not rewritten. VDC-dev interpreted runs now 2/18 (R0 + this). Frozen S_9_20_50 upper-tercile boundary b_hi=1.3297578122368192 (b_lo=0.5320216540492776). Pooled contrast +0.0051 (>0) but symmetric requirement fails. No rescue; no rule/threshold change. Feed seam noted (split-only vs ADJ; 43 entries within 5% of b_hi). Manifest Amendment 3; evidence analysis/PVAE_DEV_RESULTS_2026-08-26.json"
OFFLINE_FASTALPHA_ENGINE_V1_EMA10_22_dev_2024-09-03_2025-12-31,2026-08-26,VDC,development,SPY (local corpus),5m,RTH,America/New_York,split-only (local corpus; NOT ADJ),OFF,2024-09-03,2025-12-31,2026-01-02 + 2026-01-05 (charter A3),INGESTED@scripts/VWAP_Continuation_FastAlpha_V1_EMA10_22.pine,analysis/fastalpha_engine.py + scripts/VWAP_Continuation_FastAlpha_V1_EMA10_22.pine,engine f3862da80f797be2e203660afb4784d9ed7f915ebbbaee44b79b4c370f71942b ; V1 pine bca7f7eaf8fd7c93e3400dd72a8661f3d8f9d99219509a2f0fedf3cc03b32519,18,daily SR 0.1014 (ann ~1.61) at N=18 T=334 sessions,LOCAL-ENGINE (offline; no TV capture),local deterministic simulation (analysis/fastalpha_engine.py) over verified SPY 1m corpus sha256 a4afaa704e6ded54f62f1670c52ff74070338ccb943eebcc2f73fe9c170ed97a; no TradingView run; calibrated vs preserved R0 (analysis/v0_calibration.py),analysis/V0_V1_AB_RESULTS_2026-08-26.json,fffab51849075f89d955830bcf276c3f61ee585bcf1c0b27adc1b8a47c1b9347,25877 dev-window 5m RTH bars over 334 sessions,1366 (V1 arm); V0 calibration arm 1363,none (naked VDC; EMA 10/22 controlled perturbation of 9/20),"V1 DEVELOPMENT NEUTRAL (dNet -3.02, dExp -0.0020/trade; spike-robust dNet -1.46)","First fully-offline FastAlpha run (owner charge 2026-08-26). Controlled A/B V0 EMA 9/20 vs V1 EMA 10/22 on the same local bars/engine; only the trading EMA pair differs. INTERPRETED VDC-development run -> budget now 3/18 (R0=1, R1 PVAE unseal=2, this=3); V0 arm is calibration of the already-counted R0 and draws nothing. Engine calibration: LOCAL ENGINE RESEARCH-READY -- 89.86% of R0 reproduced by (fill bar, side); path-agreeing matched trades reconcile at the ~1% dividend feed scale (execution logic validated, no implementation defect); absolute local net -111.61 vs R0 +25.69 is dominated by corpus bad-ticks (141 spike bars; 39 phantom stops -129.19; excl-spike net +17.58). A/B disposition NEUTRAL: EMA 9/20->10/22 shows no material, robust difference (delta within corpus data-quality noise). Development only; validation/holdout/embargo untouched. Manifest manifests/RUN_OFFLINE_ENGINE_V0_V1_AB_v1.0.md; calibration evidence analysis/V0_CALIBRATION_RESULTS_2026-08-26.json sha256 57d011d5812f6c35487abe13bde98a13217aae95f5b2a31c4489dd2870f6f859. BUDGET TREATMENT FLAGGED FOR OWNER: counts a local interpreted dev run against the VDC-dev ceiling (conservative); owner may reclassify offline runs onto a separate track. Pre-existing malformed R0 ledger row (row 1) left untouched."
OFFLINE_FASTALPHA_ATR_STOP_0p75_dev_2024-09-03_2025-12-31,2026-08-26,VDC,development,SPY (local corpus),5m,RTH,America/New_York,"split-only (local; screened view primary, raw sensitivity)",OFF,2024-09-03,2025-12-31,2026-01-02 + 2026-01-05 (charter A3),INGESTED@scripts/VWAP_Continuation_FastAlpha_v0.pine (ATR_STOP_MULT=0.75),analysis/fastalpha_engine.py (atr_stop_mult=0.75),engine 975f747d8c4aef9d2ff209c904410aa31adb6ce4c3c11348d52e57b8a736221c,18,5-arm ATR-stop family (4 new interpreted configs); DSR should reflect 4 additional development looks,LOCAL-ENGINE (offline; no TV capture),local deterministic simulation (analysis/atr_stop_surface.py) over verified SPY 1m corpus; single-factor ATR_STOP_MULT=0.75; screened (CORPUS_MASK_v1.0) primary + raw sensitivity,analysis/ATR_STOP_SURFACE_2026-08-26.json,86fe2e21a1079952dd1a421b32abb43d4e275d39492430e96afdef57c93c8f35,25877 dev-window 5m RTH bars over 334 sessions (before path-dependent occupancy),1560 (screened arm),none (naked VDC v0; ATR stop multiple 0.75 only),FROZEN ATR-stop family arm; R-space FLAT (family expR spread 0.013R<0.03); this arm screened expR=0.0198 net=$-67.99; NO production value selected,"Part of the frozen 5-value ATR_STOP_MULT surface (0.75/1.00[control]/1.25/1.50/1.75), owner charge 2026-08-26. Single-factor: only the initial ATR stop distance changes. RESPONSE SHAPE (risk-adjusted, primary): FLAT/NO MATERIAL SENSITIVITY -- expectancy_R for all 5 arms in [0.009,0.022]. Fixed-share $ and PF improve monotonically with wider stops but that is a POSITION-SIZING artifact (Part A: V0 is +12.19R yet -$86.64 at fixed 1 share; losses concentrate on higher-ATR trades), not a risk-adjusted edge. Raw/screened agree on direction (0/4 arms disagree). Control 1.00 reasonable risk-adjusted (negligible trough), 'too tight' only in fixed-share $. Interpreted VDC-dev budget now 7/18 (this is one of four new explored candidates; the 1.00 arm is existing V0, no new draw). Multiple-testing: recorded as an explored candidate, not 'one test'; no intermediate multiple interpolated. Manifest manifests/RUN_ATR_STOP_SURFACE_v1.0.md; per-arm table ATR_STOP_SURFACE_2026-08-26.csv. Development only; validation/holdout/embargo untouched."
OFFLINE_FASTALPHA_ATR_STOP_1p25_dev_2024-09-03_2025-12-31,2026-08-26,VDC,development,SPY (local corpus),5m,RTH,America/New_York,"split-only (local; screened view primary, raw sensitivity)",OFF,2024-09-03,2025-12-31,2026-01-02 + 2026-01-05 (charter A3),INGESTED@scripts/VWAP_Continuation_FastAlpha_v0.pine (ATR_STOP_MULT=1.25),analysis/fastalpha_engine.py (atr_stop_mult=1.25),engine 975f747d8c4aef9d2ff209c904410aa31adb6ce4c3c11348d52e57b8a736221c,18,5-arm ATR-stop family (4 new interpreted configs); DSR should reflect 4 additional development looks,LOCAL-ENGINE (offline; no TV capture),local deterministic simulation (analysis/atr_stop_surface.py) over verified SPY 1m corpus; single-factor ATR_STOP_MULT=1.25; screened (CORPUS_MASK_v1.0) primary + raw sensitivity,analysis/ATR_STOP_SURFACE_2026-08-26.json,86fe2e21a1079952dd1a421b32abb43d4e275d39492430e96afdef57c93c8f35,25877 dev-window 5m RTH bars over 334 sessions (before path-dependent occupancy),1231 (screened arm),none (naked VDC v0; ATR stop multiple 1.25 only),FROZEN ATR-stop family arm; R-space FLAT (family expR spread 0.013R<0.03); this arm screened expR=0.0189 net=$-25.52; NO production value selected,"Part of the frozen 5-value ATR_STOP_MULT surface (0.75/1.00[control]/1.25/1.50/1.75), owner charge 2026-08-26. Single-factor: only the initial ATR stop distance changes. RESPONSE SHAPE (risk-adjusted, primary): FLAT/NO MATERIAL SENSITIVITY -- expectancy_R for all 5 arms in [0.009,0.022]. Fixed-share $ and PF improve monotonically with wider stops but that is a POSITION-SIZING artifact (Part A: V0 is +12.19R yet -$86.64 at fixed 1 share; losses concentrate on higher-ATR trades), not a risk-adjusted edge. Raw/screened agree on direction (0/4 arms disagree). Control 1.00 reasonable risk-adjusted (negligible trough), 'too tight' only in fixed-share $. Interpreted VDC-dev budget now 7/18 (this is one of four new explored candidates; the 1.00 arm is existing V0, no new draw). Multiple-testing: recorded as an explored candidate, not 'one test'; no intermediate multiple interpolated. Manifest manifests/RUN_ATR_STOP_SURFACE_v1.0.md; per-arm table ATR_STOP_SURFACE_2026-08-26.csv. Development only; validation/holdout/embargo untouched."
OFFLINE_FASTALPHA_ATR_STOP_1p50_dev_2024-09-03_2025-12-31,2026-08-26,VDC,development,SPY (local corpus),5m,RTH,America/New_York,"split-only (local; screened view primary, raw sensitivity)",OFF,2024-09-03,2025-12-31,2026-01-02 + 2026-01-05 (charter A3),INGESTED@scripts/VWAP_Continuation_FastAlpha_v0.pine (ATR_STOP_MULT=1.50),analysis/fastalpha_engine.py (atr_stop_mult=1.50),engine 975f747d8c4aef9d2ff209c904410aa31adb6ce4c3c11348d52e57b8a736221c,18,5-arm ATR-stop family (4 new interpreted configs); DSR should reflect 4 additional development looks,LOCAL-ENGINE (offline; no TV capture),local deterministic simulation (analysis/atr_stop_surface.py) over verified SPY 1m corpus; single-factor ATR_STOP_MULT=1.50; screened (CORPUS_MASK_v1.0) primary + raw sensitivity,analysis/ATR_STOP_SURFACE_2026-08-26.json,86fe2e21a1079952dd1a421b32abb43d4e275d39492430e96afdef57c93c8f35,25877 dev-window 5m RTH bars over 334 sessions (before path-dependent occupancy),1168 (screened arm),none (naked VDC v0; ATR stop multiple 1.50 only),FROZEN ATR-stop family arm; R-space FLAT (family expR spread 0.013R<0.03); this arm screened expR=0.0186 net=$-5.49; NO production value selected,"Part of the frozen 5-value ATR_STOP_MULT surface (0.75/1.00[control]/1.25/1.50/1.75), owner charge 2026-08-26. Single-factor: only the initial ATR stop distance changes. RESPONSE SHAPE (risk-adjusted, primary): FLAT/NO MATERIAL SENSITIVITY -- expectancy_R for all 5 arms in [0.009,0.022]. Fixed-share $ and PF improve monotonically with wider stops but that is a POSITION-SIZING artifact (Part A: V0 is +12.19R yet -$86.64 at fixed 1 share; losses concentrate on higher-ATR trades), not a risk-adjusted edge. Raw/screened agree on direction (0/4 arms disagree). Control 1.00 reasonable risk-adjusted (negligible trough), 'too tight' only in fixed-share $. Interpreted VDC-dev budget now 7/18 (this is one of four new explored candidates; the 1.00 arm is existing V0, no new draw). Multiple-testing: recorded as an explored candidate, not 'one test'; no intermediate multiple interpolated. Manifest manifests/RUN_ATR_STOP_SURFACE_v1.0.md; per-arm table ATR_STOP_SURFACE_2026-08-26.csv. Development only; validation/holdout/embargo untouched."
OFFLINE_FASTALPHA_ATR_STOP_1p75_dev_2024-09-03_2025-12-31,2026-08-26,VDC,development,SPY (local corpus),5m,RTH,America/New_York,"split-only (local; screened view primary, raw sensitivity)",OFF,2024-09-03,2025-12-31,2026-01-02 + 2026-01-05 (charter A3),INGESTED@scripts/VWAP_Continuation_FastAlpha_v0.pine (ATR_STOP_MULT=1.75),analysis/fastalpha_engine.py (atr_stop_mult=1.75),engine 975f747d8c4aef9d2ff209c904410aa31adb6ce4c3c11348d52e57b8a736221c,18,5-arm ATR-stop family (4 new interpreted configs); DSR should reflect 4 additional development looks,LOCAL-ENGINE (offline; no TV capture),local deterministic simulation (analysis/atr_stop_surface.py) over verified SPY 1m corpus; single-factor ATR_STOP_MULT=1.75; screened (CORPUS_MASK_v1.0) primary + raw sensitivity,analysis/ATR_STOP_SURFACE_2026-08-26.json,86fe2e21a1079952dd1a421b32abb43d4e275d39492430e96afdef57c93c8f35,25877 dev-window 5m RTH bars over 334 sessions (before path-dependent occupancy),1128 (screened arm),none (naked VDC v0; ATR stop multiple 1.75 only),FROZEN ATR-stop family arm; R-space FLAT (family expR spread 0.013R<0.03); this arm screened expR=0.0217 net=$2.2; NO production value selected,"Part of the frozen 5-value ATR_STOP_MULT surface (0.75/1.00[control]/1.25/1.50/1.75), owner charge 2026-08-26. Single-factor: only the initial ATR stop distance changes. RESPONSE SHAPE (risk-adjusted, primary): FLAT/NO MATERIAL SENSITIVITY -- expectancy_R for all 5 arms in [0.009,0.022]. Fixed-share $ and PF improve monotonically with wider stops but that is a POSITION-SIZING artifact (Part A: V0 is +12.19R yet -$86.64 at fixed 1 share; losses concentrate on higher-ATR trades), not a risk-adjusted edge. Raw/screened agree on direction (0/4 arms disagree). Control 1.00 reasonable risk-adjusted (negligible trough), 'too tight' only in fixed-share $. Interpreted VDC-dev budget now 7/18 (this is one of four new explored candidates; the 1.00 arm is existing V0, no new draw). Multiple-testing: recorded as an explored candidate, not 'one test'; no intermediate multiple interpolated. Manifest manifests/RUN_ATR_STOP_SURFACE_v1.0.md; per-arm table ATR_STOP_SURFACE_2026-08-26.csv. Development only; validation/holdout/embargo untouched."
OFFLINE_FASTALPHA_LONG_ONLY_dev_2024-09-03_2025-12-31,2026-08-26,VDC,development,SPY (local corpus),5m,RTH,America/New_York,"split-only (local; screened view primary, raw sensitivity)",OFF,2024-09-03,2025-12-31,2026-01-02 + 2026-01-05 (charter A3),INGESTED@scripts/VWAP_Continuation_FastAlpha_v0.pine (enable_shorts=False; long-only),analysis/fastalpha_engine.py (enable_shorts=False),engine 11af1c55db3dd0d1cbca5a489f1dbe7194344311e4ffcdc1142b9da1bcde86f5,18,1 new interpreted config; DSR should reflect the additional development look,LOCAL-ENGINE (offline; no TV capture),"local deterministic simulation (analysis/long_only_ab.py); control symmetric V0 vs variant long-only (short entries disabled), variant RERUN through the engine (not a filter); screened (CORPUS_MASK_v1.0) primary + raw sensitivity",analysis/LONG_ONLY_AB_2026-08-26.json,9bffb2e6239605cf7d3f5c617ceb33cbde9fcdabdaf34277a3425e60235d29b1,25877 dev-window 5m RTH bars over 334 sessions,701 (screened long-only arm); control symmetric 1354,none (naked VDC v0; short entries disabled),"LONG-ONLY DEVELOPMENT EFFECT MODEST / UNCERTAIN (favorable+consistent but CI straddles 0 and fails best-10 removal; NOT confirmation, dev-generated)","Long-only path-dependent A/B (owner charge 2026-08-26). Only change: short entry permission disabled; variant rerun through the engine. PATH-DIFFERENCE (verified by rerun): 0 path-created, 0 lost, 0 changed-exit long trades; long-entry Jaccard 1.000 in both views -> long-only coincides exactly with the symmetric long book (mutually-exclusive VWAP regimes; shorts thesis-exit at the boundary). So the long-only-vs-symmetric gap IS the removed net-negative short book. Screened: net -$86.64->+$31.05, cumR +12.19->+33.11, PF 0.885->1.093, maxDD_R 75.7->29.8. Raw: net -$111.61->+$17.18, cumR -12.40->+18.88, PF 0.855->1.050. Raw/screened qualitatively AGREE. BUT bootstrap mean-expectancy CI straddles zero in $ and R both views; net does NOT survive best-10 removal (+31->-74 screened, +17->-88 raw) -> MODEST/UNCERTAIN. Development-generated hypothesis: NOT confirmation. A separately pre-registered single-look validation appears plausibly warranted (small expected effect); validation NOT inspected. Interpreted VDC-dev budget now 8/18. Manifest manifests/RUN_LONG_ONLY_AB_v1.0.md."
OFFLINE_FASTALPHA_EMA_8_18_dev_2024-09-03_2025-12-31,2026-08-26,VDC,development,SPY (local corpus),5m,RTH,America/New_York,"split-only (local; screened view primary, raw sensitivity)",OFF,2024-09-03,2025-12-31,2026-01-02 + 2026-01-05 (charter A3),INGESTED@scripts/VWAP_Continuation_FastAlpha_v0.pine (EMA 8/18),analysis/ema_surface.py (EMA 8/18),engine 11af1c55db3dd0d1cbca5a489f1dbe7194344311e4ffcdc1142b9da1bcde86f5 ; surface 6ff838fb8cdcb48b4e3efd76a55e48ce575bb7b682d654e2ec330bfe7870de01,18,3x3 EMA grid (7 new interpreted cells); DSR should reflect 7 additional development looks,LOCAL-ENGINE (offline; no TV capture),"local deterministic simulation (analysis/ema_surface.py) over verified SPY 1m corpus; symmetric VDC, only EMA fast/slow=8/18 changed; screened (CORPUS_MASK_v1.0) primary + raw sensitivity",analysis/EMA_SURFACE_2026-08-26.json,6010a894c268b01aa4e87e4543cc262efbc3aaa405982b4adc873fa39dbf5151,25877 dev-window 5m RTH bars over 334 sessions,1376 (screened arm),none (naked symmetric VDC v0; EMA 8/18),EMA-surface cell; family FLAT/PARAMETER-INSENSITIVE (expR range 0.0096R<0.03); this cell screened expR=0.000764 net=$-101.335; NO production pair selected,"Part of the frozen 3x3 EMA fast/slow surface (fast{{8,9,10}}xslow{{18,20,22}}), owner charge 2026-08-26. Single-factor: only the trading EMA fast/slow lengths change; symmetric VDC otherwise exactly V0. RESPONSE SHAPE (risk-adjusted, primary): FLAT/PARAMETER-INSENSITIVE -- all 9 cells pooled expectancy_R within one 0.0096R band (<MATERIAL_R 0.03), max adjacent-cell jump 0.008R, both axis marginals sub-material; raw/screened agree on direction (0/8 non-control cells disagree). Control 9/20 is the top R-cell of the flat band (well-placed); 10/22 prior NEUTRAL consistent (delta -0.0096R vs control). Directional asymmetry PERSISTENT: long expectancy_R>0 and short expectancy_R<0 in all 9 cells in BOTH views -> supports (not confirms) the long-only candidate. Every cell bootstrap mean-expectancy CI straddles zero ($ and R) and net_excl_best_10 deeply negative -> outlier-dependent family-wide. Interpreted VDC-dev budget now 15/18 (this is one of seven new explored cells; 9/20 control and 10/22 pre-existing, no new draw). Multiple-testing: recorded as an explored candidate, not one test; no intermediate/neighbouring length interpolated. Manifest manifests/RUN_EMA_SURFACE_v1.0.md; per-cell table EMA_SURFACE_2026-08-26.csv. Development only; validation/holdout/embargo untouched."
