view,atr_stop_mult,n,stop_outs,stop_out_pct,thesis_exits,eod_exits,net_usd,expectancy_usd,expectancy_r,median_r,profit_factor,win_rate_pct,avg_winner_r,avg_loser_r,max_dd_usd,max_dd_r,avg_bars_held,long_n,long_expectancy_r,long_pf,short_n,short_expectancy_r,short_pf
screened,0.75,1560,989,63.397,356,215,-67.985,-0.04358,0.019777,-1.013333,0.908255,19.2308,3.93129,-0.912984,119.8504,89.7427,10.6538,809,0.053241,1.072182,751,-0.01627,0.977857
screened,1.0,1354,649,47.932,483,222,-86.6386,-0.063987,0.009,-0.841052,0.88548,21.7134,2.986633,-0.818415,131.9844,75.717825,12.6152,701,0.04723,1.074528,653,-0.032039,0.950381
screened,1.25,1231,408,33.144,594,229,-25.5185,-0.02073,0.018912,-0.55,0.963031,23.7206,2.375492,-0.715435,75.2934,49.870247,14.1657,638,0.053026,1.0989,593,-0.017791,0.967864
screened,1.5,1168,268,22.945,670,230,-5.4891,-0.0047,0.018565,-0.445299,0.991778,24.8288,1.987362,-0.633163,66.2131,43.700082,15.113,615,0.044844,1.095829,553,-0.01066,0.97791
screened,1.75,1128,182,16.135,713,233,2.1979,0.001948,0.021745,-0.365766,1.003341,25.5319,1.70872,-0.557975,63.0456,36.049065,15.7562,591,0.051822,1.127491,537,-0.011357,0.973175
raw,0.75,1571,1002,63.781,355,214,-91.03,-0.057944,-0.000157,-1.013333,0.879111,18.9052,3.912109,-0.913635,128.6996,105.876435,10.5493,818,0.030313,1.040862,753,-0.033257,0.954904
raw,1.0,1363,660,48.423,482,221,-111.6136,-0.081888,-0.0091,-0.863636,0.855134,21.35,2.97207,-0.819883,143.9365,89.003386,12.5018,708,0.026664,1.041743,655,-0.047757,0.926403
raw,1.25,1238,417,33.683,593,228,-51.6935,-0.041756,0.00284,-0.559964,0.926716,23.3441,2.363488,-0.717563,86.1946,61.407205,14.0477,643,0.035734,1.066036,595,-0.032708,0.941309
raw,1.5,1176,277,23.554,670,229,-33.8241,-0.028762,0.002956,-0.450122,0.950616,24.4048,1.977209,-0.635832,78.4876,48.253367,14.9745,621,0.027828,1.058804,555,-0.024874,0.948889
raw,1.75,1136,192,16.901,712,232,-33.3821,-0.029386,0.004519,-0.368645,0.95086,25.088,1.693904,-0.562579,81.7648,43.000521,15.625,597,0.030895,1.074656,539,-0.024695,0.942272
