view,fast,slow,n,net_usd,expectancy_usd,cumulative_r,expectancy_r,median_r,profit_factor,win_rate_pct,max_dd_usd,max_dd_r,stop_out_pct,thesis_exits,eod_exits,avg_bars_held,long_n,long_expectancy_r,long_pf,short_n,short_expectancy_r,short_pf,boot_expR_lo,boot_expR_hi,best_10_pct_of_gross
screened,8,18,1376,-101.335,-0.073645,1.050671,0.000764,-0.831205,0.868686,21.439,140.7741,82.371326,47.602,501,220,12.5218,716,0.032107,1.05062,660,-0.033239,0.948347,-0.097988,0.101299,21.9375
screened,8,20,1366,-93.6161,-0.068533,3.579471,0.00262,-0.83875,0.877248,21.4495,137.1771,77.898485,47.804,492,221,12.5791,712,0.03685,1.058109,654,-0.034645,0.946245,-0.096346,0.110835,21.9813
screened,8,22,1359,-89.3868,-0.065774,9.918364,0.007298,-0.842105,0.88229,21.6336,132.1641,75.190862,47.976,484,223,12.5762,706,0.043398,1.06842,653,-0.031731,0.950853,-0.093093,0.11489,21.9496
screened,9,18,1372,-99.0649,-0.072205,1.39958,0.00102,-0.843672,0.871147,21.3557,138.5671,77.990742,47.959,493,221,12.5204,716,0.031465,1.049462,656,-0.03221,0.950059,-0.097889,0.101339,21.9575
screened,9,20,1354,-86.6386,-0.063987,12.186614,0.009,-0.841052,0.88548,21.7134,131.9844,75.717825,47.932,483,222,12.6152,701,0.04723,1.074528,653,-0.032039,0.950381,-0.093153,0.118287,21.9528
screened,9,22,1357,-85.6572,-0.063122,7.311531,0.005388,-0.842105,0.886296,21.6654,133.6189,74.101161,47.9,484,223,12.5239,704,0.044626,1.070439,653,-0.036914,0.942888,-0.100278,0.110563,22.0259
screened,10,18,1359,-91.0763,-0.067017,8.627095,0.006348,-0.845238,0.880315,21.7071,135.0144,76.268423,48.05,485,221,12.5703,705,0.040117,1.063067,654,-0.030054,0.953349,-0.095871,0.112343,21.9532
screened,10,20,1357,-88.3372,-0.065097,4.372877,0.003222,-0.845238,0.88306,21.5917,132.4089,74.994841,48.047,484,221,12.5239,704,0.041043,1.064578,653,-0.037552,0.941854,-0.100582,0.106086,22.0459
screened,10,22,1357,-89.6682,-0.066078,-0.865771,-0.000638,-0.848,0.880924,21.6654,135.0271,75.48571,47.973,483,223,12.4731,708,0.035792,1.056263,649,-0.04038,0.937322,-0.101235,0.104937,22.169
raw,8,18,1385,-126.36,-0.091235,-23.478623,-0.016952,-0.848542,0.839169,21.083,154.8841,95.656602,48.087,500,219,12.4108,723,0.012197,1.019086,662,-0.048787,0.924557,-0.117395,0.093194,22.3054
raw,8,20,1375,-118.6211,-0.08627,-20.950027,-0.015236,-0.86,0.847255,21.0909,147.9192,91.183965,48.291,491,220,12.4669,719,0.016783,1.026266,656,-0.050331,0.922291,-0.115878,0.093091,22.3507
raw,8,22,1368,-114.3918,-0.08362,-14.671121,-0.010725,-0.865151,0.85208,21.2719,144.7062,88.476342,48.465,483,222,12.4635,713,0.023013,1.035998,655,-0.04745,0.926868,-0.116081,0.094123,22.3179
raw,9,18,1381,-124.0699,-0.089841,-23.129773,-0.016749,-0.866667,0.841499,20.9993,150.2692,91.276077,48.443,492,220,12.4091,723,0.011561,1.018039,658,-0.047855,0.926165,-0.118961,0.092737,22.326
raw,9,20,1363,-111.6136,-0.081888,-12.402952,-0.0091,-0.863636,0.855134,21.35,143.9365,89.003386,48.423,482,221,12.5018,708,0.026664,1.041743,655,-0.047757,0.926403,-0.111095,0.096205,22.3212
raw,9,22,1366,-110.6222,-0.080983,-17.278262,-0.012649,-0.865151,0.855819,21.3031,142.9431,87.386949,48.389,483,222,12.4114,711,0.024172,1.037853,655,-0.052617,0.918993,-0.112368,0.094711,22.3967
raw,10,18,1368,-116.0513,-0.084833,-15.962471,-0.011668,-0.86837,0.850234,21.345,146.2965,89.553984,48.538,484,220,12.4576,712,0.019737,1.030786,656,-0.045754,0.92933,-0.114626,0.088354,22.3216
raw,10,20,1366,-113.3022,-0.082945,-20.216916,-0.0148,-0.872536,0.852724,21.2299,143.616,88.280629,48.536,483,220,12.4114,711,0.020624,1.032197,655,-0.053253,0.917949,-0.115204,0.09674,22.4174
raw,10,22,1366,-114.6332,-0.083919,-25.455564,-0.018635,-0.880538,0.850533,21.3031,144.3513,88.771498,48.463,482,222,12.3609,715,0.015539,1.024237,651,-0.056169,0.913247,-0.120672,0.084547,22.5447
