time,open,high,low,close,Session VWAP,EMA 9,EMA 20,Long Fast-Alpha Signal,Short Fast-Alpha Signal
1754919000,630.47412719,630.61259294,629.92026418,630.09829158,630.2103829,,,0,0
1754919300,630.10818199,630.54336006,630.0290587,630.50379842,630.2603095080117,,,0,0
1754919600,630.50379842,630.78072992,630.19719569,630.59281212,630.3419977107591,,,0,0
1754919900,630.60270253,630.66204499,630.34555185,630.51368883,630.3747900221751,,,0,0
1754920200,630.52852445,630.53346965,629.93015459,630.13785322,630.3506442647172,,,0,0
1754920500,630.12796281,630.69666143,630.07851076,630.69666143,630.3654985473321,,,0,0
1754920800,630.69171623,630.82029157,630.40489431,630.46423678,630.3847260225085,,,0,0
1754921100,630.45434637,630.74116828,630.35544226,630.60270253,630.3981321943421,,,0,0
1754921400,630.59281212,630.94886691,630.43456555,630.50379842,630.4223650016951,630.4570937033334,,0,0
1754921700,630.50379842,630.96864773,630.36533267,630.95875732,630.4502395709864,630.5574264266667,,0,0
1754922000,630.95875732,630.97853814,630.41478472,630.42467513,630.458226378278,630.5308761673333,,0,0
1754922300,630.43456555,630.51368883,630.22686692,630.26642856,630.4519151144628,630.4779866458666,,0,0
1754922600,630.25653815,630.44445596,630.18730528,630.24664774,630.44384908142,630.4317188646933,,0,0
1754922900,630.24664774,630.37522308,630.1180724,630.18730528,630.4331452452009,630.3828361477546,,0,0
1754923200,630.17741486,630.33566144,630.05872993,630.28620938,630.4211242093702,630.3635107942036,,0,0
1754923500,630.28620938,630.34555185,629.59388063,629.81146966,630.3835250897491,630.2531025673629,,0,0
1754923800,629.80157925,630.09829158,629.71256556,629.91037377,630.3604100331044,630.1845568078903,,0,0
1754924100,629.90048336,629.94004501,629.78179843,629.79168884,630.3451298770057,630.1059832143122,,0,0
1754924400,629.78179843,630.0241135,629.59388063,629.76696282,630.3217804924308,630.0381791354498,,0,0
1754924700,629.7521272,629.8411409,629.55431898,629.63344227,630.3011097637286,629.9572317623598,630.2698902049999,0,0
1754925000,629.64333268,630.17741486,629.55431898,630.16752445,630.2830311501009,629.9992902998879,630.2601410854761,0,1
1754925300,630.15763404,630.25653815,630.01916829,630.23675733,630.2787440422285,630.0467837059103,630.257914061145,0,0
1754925600,630.23675733,630.31588062,629.99938747,630.13785322,630.2746529086301,630.0649976087283,630.2464796953217,0,0
1754925900,630.12796281,630.21697651,630.03894911,630.10818199,630.2707368836464,630.0736344849827,630.2333084852911,0,0
1754926200,630.1180724,630.2070861,629.89059295,630.15763404,630.2646831117424,630.0904343959861,630.2261013952634,0,0
1754926500,630.16752445,630.17741486,629.88070254,629.92026418,630.2563460029816,630.0564003527888,630.1969740414288,0,0
1754926800,629.88564775,630.2070861,629.81146966,630.07851076,630.2498280303549,630.0608224342311,630.1856918241499,0,0
1754927100,630.07851076,630.35544226,629.95982583,630.31588062,630.2487244021178,630.1118340713849,630.198090757088,0,0
1754927400,630.30599021,630.72138746,630.29609979,630.69171623,630.2573575820843,630.2278105031079,630.2451027068892,0,0
1754927700,630.68182582,630.89941485,630.61259294,630.85985321,630.2681486233311,630.3542190444863,630.3036503738521,0,0
1754928000,630.86974362,630.98842855,630.80051075,630.91919567,630.2806989613761,630.467214369589,630.36227373539,0,0
1754928300,630.90930526,631.79944224,630.89941485,631.769771,630.3469480089439,630.7277256956712,630.4963210939243,0,0
1754928600,631.75988059,631.9477984,631.54229156,631.61152443,630.3996850876227,630.904485442537,630.6025309354553,1,0
1754928900,631.60657923,631.65108607,631.31481211,631.39393539,630.4195894113415,631.0023754320296,630.6779027882691,0,0
1754929200,631.37415457,631.66097649,631.3049217,631.62141484,630.4440923318849,631.1261833136236,630.7677610789101,0,0
1754929500,631.61152443,631.62141484,631.39393539,631.53240114,630.4605483692214,631.2074268788989,630.840583941871,0,0
1754929800,631.54229156,631.61152443,631.29503129,631.32470252,630.4754886597011,631.2308820071191,630.8866904731215,0,0
1754930100,631.32470252,631.32470252,630.98842855,631.0329354,630.4887113663272,631.1912926856953,630.9006185613956,1,0
1754930400,631.02799019,631.04777102,630.37522308,630.41478472,630.491367520716,631.0359910925563,630.8543486717389,0,0
1754930700,630.38511349,630.64226417,630.35544226,630.4840176,630.4914291871789,630.925596394045,630.819079045859,0,0
1754931000,630.49390801,630.81040116,630.45434637,630.4840176,630.4942047649871,630.837280635236,630.7871684319676,0,0
1754931300,630.46423678,630.52852445,630.33566144,630.35544226,630.49326881433,630.7409129601888,630.746051653685,0,0
1754931600,630.35544226,630.53346965,630.28620938,630.45434637,630.4924237499138,630.6835996421511,630.7182701980959,0,1
1754931900,630.45434637,630.62248335,630.42467513,630.46423678,630.49258743287,630.6397270697208,630.6940765392296,0,0
1754932200,630.45434637,630.46918198,630.12796281,630.14279843,630.4888503163098,630.5403413417766,630.6415738621602,0,0
1754932500,630.14774363,630.27631897,629.93015459,630.19719569,630.4816945730578,630.4717122114213,630.5992521314782,0,0
1754932800,630.19719569,630.36533267,630.05872993,630.28620938,630.4791380010026,630.434611645137,630.5694385360994,0,0
1754933100,630.29609979,630.29609979,630.08840117,630.2070861,630.4756988971127,630.3891065361096,630.5349287802803,0,0
1754933400,630.18730528,630.44445596,630.17741486,630.21697651,630.4727893998053,630.3546805308877,630.5046476116822,0,0
1754933700,630.21697651,630.35544226,629.6631135,629.8411409,630.4608464620653,630.2519726047101,630.4414564962839,0,0
1754934000,629.85103131,629.86092172,629.42574364,629.80157925,630.4403320938351,630.161893933768,630.3805158061616,0,0
1754934300,629.81146966,630.03894911,629.44552446,629.99938747,630.428494077278,630.1293926410144,630.3442178693844,0,0
1754934600,629.99938747,630.06862035,629.80157925,629.89059295,630.4228004585129,630.0816327028116,630.3010154961097,0,0
1754934900,629.88564775,629.98949706,629.63344227,629.82136008,630.4160806350321,630.0295781782493,630.2553340279088,0,0
