time,open,high,low,close,Session VWAP,EMA 9,EMA 20,Long Fast-Alpha Signal,Short Fast-Alpha Signal,ACCEPT_STATE_DIR,EMA50,S_9_20_50,ORDERED_9_20_50,EXPANDING_9_20_50,ALIGNED_EXP_COUNT_9_20_50,SHOCK_RATIO,RECENT_SHOCK,S_10_22_55,ORDERED_10_22_55,Volume
1787322600,764.649,764.87,764.49,764.49,764.9551107547924,764.6208362178413,764.4081888793214,0,0,-1,764.5797362363954,0.06385241960858212,0,0,0,0.5723288905693531,1.0829057552931294,0.09996496315652538,0,29991
1787322900,764.47,764.61,764.22,764.379,764.9263678480025,764.5724689742731,764.4054089860527,0,0,-1,764.571864227125,0.000966741473446044,0,0,0,0.6058991457243422,1.0829057552931294,0.1512683581624117,0,45999
1787323200,764.37,764.85,764.22,764.62,764.9120081028445,764.5819751794185,764.4258462254763,0,0,-1,764.5737519044927,0.013138954729386768,0,0,0,1.007110377045196,1.007110377045196,0.13212297226271516,0,36389
1787323500,764.619,765.085,764.555,765.03,764.9111753726517,764.6715801435348,764.4833846801929,0,0,0,764.5916439866695,0.12913299170553896,0,1,0,0.8468214998842979,1.007110377045196,0.020736578156218783,0,36178
1787323800,765.02,765.3,764.89,765.065,764.916152451709,764.7502641148278,764.5387766154126,0,0,0,764.6102069675844,0.23184745079314362,0,1,0,0.6623351518948128,1.007110377045196,0.07858700452834819,0,28184
1787324100,765.06,765.83,764.95,765.815,764.9436212970179,764.9632112918623,764.6603216996591,0,0,1,764.6574537531693,0.49015351579498895,1,1,1,1.4567322033441217,1.4567322033441217,0.3275503945566548,0,45980
1787324400,765.81,766.4,765.75,766.24,765.0554270238922,765.2185690334899,764.8107672520725,0,0,1,764.7195143902999,0.797631088101053,1,1,2,1.0420014061750573,1.4567322033441217,0.621482027626354,0,107200
1787324700,766.25,766.41,765.81,765.839,765.1010514342648,765.3426552267919,764.9086941804466,1,0,1,764.7634157867587,0.9285103409059263,1,1,3,0.9589704442013424,1.4567322033441217,0.7587038094833822,1,56496
1787325000,765.86,766.05,765.68,765.7,765.115027106147,765.4141241814335,764.9840566394516,0,0,1,764.8001445794349,1.0136592342269677,1,1,4,0.5931033047672878,1.4567322033441217,0.8528312556159929,1,24011
1787325300,765.71,765.97,765.55,765.57,765.1322193797157,765.4452993451469,765.0398607690277,0,0,1,764.8303349880845,1.038017194285797,1,1,5,0.6934055740444052,1.0420014061750573,0.8918107942891155,1,37099
1787325600,765.6,765.87,765.455,765.51,765.1411707427932,765.4582394761175,765.0846359338822,0,0,1,764.8569885179635,1.0370561723672966,1,1,6,0.700491224705034,0.9589704442013424,0.9063001961311207,1,23879
1787325900,765.51,766.01,765.46,765.94,765.1567825891783,765.554591580894,765.1660991782743,0,0,1,764.8994595564748,1.1341512375199412,1,1,7,0.9486569411102749,0.9486569411102749,1.0085256601999897,1,30883
1787326200,765.95,766.49,765.82,766.49,765.1880226079996,765.7416732647152,765.2921849708196,0,0,1,764.9618336915149,1.3347980272405395,1,1,8,1.1598903744813,1.1598903744813,1.2053434902647675,1,37937
1787326500,766.48,767.05,766.44,767.05,765.2467391176355,766.0033386117722,765.4595959259796,0,0,1,765.0437225663575,1.6373520076271677,1,1,9,1.0440952531751584,1.1598903744813,1.4971101054357654,1,49464
1787326800,767.05,767.44,766.93,767.26,765.3103360589931,766.2546708894178,765.6310629806482,0,0,1,765.1306354068925,1.935843129621788,1,1,10,0.8701912894017587,1.1598903744813,1.7895104407072517,1,46778
1787327100,767.32,767.44,766.94,767.01,765.3548735934859,766.4057367115342,765.7623903158245,0,0,1,765.2043359791712,2.089815589940797,1,1,11,0.8611129985294812,1.1598903744813,1.9540071760198185,1,36231
1787327400,767.01,767.84,767.01,767.69,765.3961310652729,766.6625893692274,765.9459721905079,0,0,1,765.3018129995959,2.2943215675519912,1,1,12,1.4437705029855266,1.4437705029855266,2.161264869791908,1,28846
1787327700,767.675,767.68,767.075,767.2,765.4368835451286,766.7700714953819,766.0654034104595,0,0,1,765.376251705494,2.3438540156765457,1,1,13,1.036913776233944,1.4437705029855266,2.2315252489725435,1,32688
1787328000,767.19,767.32,766.64,766.74,765.4772188655436,766.7640571963055,766.1296507047014,0,0,1,765.4297320307688,2.2210432662482247,1,0,0,1.1434912477375823,1.4437705029855266,2.1419807715548056,1,43710
1787328300,766.74,766.74,766.29,766.35,765.5096042593619,766.6812457570444,766.1506363518727,0,0,1,765.4658209707387,2.06005557056302,1,0,0,0.7490449072132889,1.4437705029855266,2.01658801805785,1,54028
1787328600,766.33,766.58,766.24,766.24,765.5281925576342,766.5929966056356,766.1591471755038,0,0,1,765.4961809326705,1.9170432216746587,1,0,0,0.5762749796476007,1.1434912477375823,1.9041075647669936,1,36935
1787328900,766.24,766.53,765.93,766.02,765.5448342198823,766.4783972845084,766.145895063551,0,0,1,765.5167228568795,1.675013660000361,1,0,0,1.0486957483890005,1.1434912477375823,1.69128116310684,1,45353
1787329200,766.02,767,765.875,766.175,765.5793213878585,766.4177178276068,766.1486669622604,0,0,1,765.5425376468057,1.4265895532253388,1,0,0,1.9594889011933336,1.9594889011933336,1.4571713834239033,1,77051
1787329500,766.2,766.58,766.13,766.5,765.5854673310475,766.4341742620854,766.182127251569,0,0,1,765.5800851900683,1.419223483158835,1,0,0,0.7335235795260651,1.9594889011933336,1.4536601666662494,1,13518
1787329800,766.51,766.52,766.04,766.05,765.5956813970603,766.3573394096684,766.1695437038005,0,0,1,765.5985132218303,1.2794231493218735,1,0,0,0.7976068237325511,1.9594889011933336,1.3291078387152888,1,30465
1787330100,766.03,766.56,766.025,766.56,765.608025209864,766.3978715277347,766.2067300177242,0,0,1,765.6362185856801,1.2932382097013042,1,0,0,0.9020397501532245,1.9594889011933336,1.3403990865365776,1,29404
1787330400,766.55,766.55,766.285,766.38,765.6159787077321,766.3942972221877,766.2232319207981,0,0,1,765.6653864842809,1.2866342388931113,1,1,1,0.4669324938317771,0.9020397501532245,1.3395666817953338,1,18873
1787330700,766.37,766.37,766.11,766.16,765.6241183020815,766.3474377777501,766.217209833103,0,0,1,765.6847830927405,1.2151113096963084,1,0,0,0.4765895553943139,0.9020397501532245,1.2794482680666104,1,26125
1787331000,766.16,766.17,765.81,766.02,765.6292351513566,766.2819502222001,766.1984279442361,0,0,1,765.6979288538096,1.0975659947082268,1,0,0,0.6601327680711697,0.9020397501532245,1.1736461567831864,1,26460
1787331300,766.02,766.43,765.955,766.37,765.6459203265171,766.2995601777601,766.2147681400231,0,0,1,765.7242845850327,1.0894815398404163,1,0,0,0.8926794047332206,0.8926794047332206,1.1624492674866445,1,53540
1787331600,766.42,766.45,766.23,766.28,765.652840836723,766.295648142208,766.2209806981161,0,0,1,765.7460773464039,1.0860546195644987,1,0,0,0.41664541620576184,0.8926794047332206,1.1624482661412918,1,20718
1787331900,766.285,766.53,766.18,766.365,765.6598060365404,766.3095185137664,766.2346968221051,0,0,1,765.7703488230155,1.0894950193617807,1,1,1,0.6916654228167469,0.8926794047332206,1.1652272790263816,1,20122
1787332200,766.365,766.365,766.1,766.16,765.6636429626367,766.2796148110132,766.2275828390475,0,0,1,765.7856292613286,1.0324482748886104,1,0,0,0.5354829566342372,0.8926794047332206,1.1156960892254415,1,14357
1787332500,766.21,766.29,766.1,766.16,765.6671902427709,766.2556918488106,766.2211463781858,0,0,1,765.8003104667667,0.9945951452984237,1,0,0,0.39710710638000596,0.6916654228167469,1.0845273585741968,1,14106
1787332800,766.155,766.2,765.73,765.84,765.672744325695,766.1725534790485,766.1848467231205,0,0,1,765.8018669190504,0.8080828586260091,0,0,0,1.0265235618379178,1.0265235618379178,0.909445304566263,1,45804
1787333100,765.84,766.01,765.71,765.8,765.6761318633033,766.0980427832387,766.1481946542518,0,0,1,765.8017937065387,0.6621777035021926,0,0,0,0.6539887974062272,1.0265235618379178,0.7733994871770756,0,43668
1787333400,765.82,765.9,765.545,765.545,765.6759067318368,765.987434226591,766.0907475443231,0,0,0,765.7917233651058,0.44400319187221005,0,0,0,0.79349811773857,1.0265235618379178,0.5679612477232313,0,38605
1787333700,765.53,765.8,765.5,765.58,765.6754210014528,765.9059473812728,766.0421049210543,0,1,0,765.7834204880428,0.2844627816239434,0,0,0,0.6806007420887966,1.0265235618379178,0.41410402535122715,0,21865
1787334000,765.58,765.71,765.48,765.68,765.6750441109439,765.8607579050182,766.0076187380967,0,0,0,765.7793647826294,0.19547191533778968,0,0,0,0.5339761586112484,0.79349811773857,0.32428042300684734,0,16155
1787334300,765.7,765.88,765.59,765.69,765.6753494698131,765.8266063240146,765.9773693344684,0,0,0,765.7758602813498,0.12457147853437604,0,0,0,0.6964575603471379,0.79349811773857,0.24896425000732547,0,15269
1787334600,765.7,765.77,765.51,765.58,765.6749172555357,765.7772850592117,765.9395246359477,0,0,0,765.7681794860027,0.02294526967690422,0,0,0,0.638248476493871,0.6964575603471379,0.14659168361337957,0,17692
1787334900,765.58,765.58,765.435,765.44,765.6723823965109,765.7098280473695,765.8919508610956,0,0,0,765.7553097022379,0.12005178171699081,0,0,0,0.3653876616861642,0.6964575603471379,0.00850348857883318,0,30649
1787335200,765.44,765.73,765.35,765.655,765.6707150296982,765.6988624378955,765.8693841124198,0,1,-1,765.7513759884247,0.13858288737794233,0,1,0,1.0030346781441344,1.0030346781441344,0.023069539622892602,0,41445
1787335500,765.66,765.68,765.31,765.32,765.6686076800554,765.6230899503164,765.8170618159988,0,0,-1,765.7344592829962,0.29439857523647345,0,1,0,0.9764273756610087,1.0030346781441344,0.17729168282035912,0,21240
1787335800,765.31,765.54,765.285,765.349,765.6658151280863,765.5682719602531,765.7724845001894,0,0,-1,765.7193432326826,0.40886689750591737,0,1,0,0.6740781764502449,1.0030346781441344,0.2934154467088731,0,24000
1787336100,765.35,765.53,765.31,765.47,765.6623930139945,765.5486175682025,765.7436764525523,0,0,-1,765.7095650666951,0.44855916152107567,0,1,0,0.595419076074203,1.0030346781441344,0.341825438983382,0,36127
1787336400,765.46,765.63,765.43,765.49,765.6612168830447,765.536894054562,765.7195167904044,0,0,-1,765.7009546719227,0.4721625394613042,0,1,0,0.5573981151897043,0.9764273756610087,0.37460973400007025,0,19683
1787336700,765.5,765.53,765.26,765.29,765.6592590734962,765.4875152436496,765.6786104294135,0,0,-1,765.6848388024355,0.5770823811156757,-1,1,1,0.7770535531651234,0.7770535531651234,0.480994819185083,0,15955
1787337000,765.27,765.37,765.06,765.18,765.6539681905799,765.4260121949196,765.6311237218504,0,0,-1,765.6650412023399,0.7037464867180784,-1,1,2,0.9066101343732049,0.9066101343732049,0.6080804032177223,-1,28821
1787337300,765.19,765.33,765.19,765.24,765.6505745699187,765.3888097559357,765.5938738435789,0,0,-1,765.6483729198952,0.795948273762995,-1,1,3,0.4416282950217822,0.9066101343732049,0.704122524442859,-1,21217
1787337600,765.24,765.51,765.21,765.39,765.6469577683554,765.3890478047485,765.5744572870476,0,0,-1,765.6382406485268,0.7685423263844627,-1,1,4,0.9199474936515116,0.9199474936515116,0.6921484470161473,-1,32710
1787337900,765.395,765.7,765.32,765.65,765.6454132046714,765.4412382437988,765.5816518311383,0,0,0,765.638701799565,0.601612767916441,-1,0,0,1.1719681817427337,1.1719681817427337,0.5510861160566302,-1,44163
1787338200,765.66,765.98,765.66,765.91,765.6481753387359,765.5349905950391,765.6129230853156,0,0,0,765.64934094468,0.34825690597334913,-1,0,0,1.0054119234415446,1.1719681817427337,0.3269797386468395,-1,35332
1787338500,765.88,766.23,765.8,766.21,765.6523091100431,765.6699924760312,765.6697875533808,0,0,1,765.6713275743004,0.003978109603362859,0,0,0,1.3095759657817974,1.3095759657817974,0.014405809640832656,0,25294
1787338800,766.2,766.36,766.01,766.04,765.6655617755671,765.7439939808249,765.7050458816303,1,0,1,765.6857853164847,0.17291123123646096,1,0,0,1.0428733174618776,1.3095759657817974,0.1522418578817888,1,74330
1787339100,766.04,766.33,766,766.1,765.6722862194774,765.81519518466,765.7426605595703,0,0,1,765.7020290295637,0.3366389319764169,1,1,1,0.9802785711511115,1.3095759657817974,0.30917307353201184,1,38781
1787339400,766.09,766.1,765.88,766.04,765.6755802742773,765.8601561477279,765.7709786015159,0,0,1,765.7152827931103,0.44186581997008895,1,1,2,0.6544409410379658,1.3095759657817974,0.4149741604492465,1,27414
1787339700,766.03,766.11,765.86,765.95,765.6793134187515,765.8781249181824,765.7880282585144,0,0,1,765.7244873894589,0.4766831436696533,1,1,3,0.762503603813695,1.0428733174618776,0.45723008127740855,1,35333
1787340000,765.965,766.23,765.88,766.21,765.6841961803392,765.9444999345459,765.8282160434178,0,0,1,765.7435270996762,0.6197441713708428,1,1,4,1.0859267372404537,1.0859267372404537,0.5961508626012619,1,32571
1787340300,766.2,766.22,765.95,766.04,765.6875242359156,765.9635999476367,765.8483859440447,0,0,1,765.7551534879242,0.6505694799370972,1,1,5,0.8326046969411512,1.0859267372404537,0.635084557534217,1,24805
1787340600,766.06,766.31,766.03,766.09,765.6931887855546,765.9888799581094,765.8713968065166,0,0,1,765.7682847236919,0.6947443925991421,1,1,6,0.8738908525173383,1.0859267372404537,0.6849557195240616,1,36185
1787340900,766.09,766.37,765.975,766.27,765.7042395113675,766.0451039664874,765.9093590154198,0,0,1,765.7879598325667,0.7959781087561545,1,1,7,1.244016153845315,1.244016153845315,0.7844524631899606,1,64255
1787341200,766.27,766.49,766.1,766.46,765.7207007316902,766.1280831731899,765.9618010139512,0,0,1,765.8143143489366,0.9570904755457569,1,1,8,1.2072274707637938,1.244016153845315,0.9391432583556996,1,77845
1787341500,766.46,766.8,766.38,766.66,765.7561876315157,766.2344665385519,766.0282961554797,0,0,1,765.8474784921156,1.1571942873333807,1,1,9,1.281127915387313,1.281127915387313,1.1305475264869813,1,126431
1787341800,766.64,766.65,765.85,765.915,765.7677483547486,766.1705732308416,766.017506045434,0,0,1,765.8501263943855,0.8698592299437549,1,0,0,2.4221093684196147,2.4221093684196147,0.8744906115605876,1,99210
1787342100,765.9,766.23,765.355,765.64,765.7650917840685,766.0644585846733,765.981553088726,0,0,0,765.8418861436253,0.55013782509936,1,0,0,2.375204681744742,2.4221093684196147,0.5827357212275569,1,371911
1787578200,764.779,764.81,763.18,763.44,763.81,765.5395668677386,765.7395004136092,0,0,,765.7476945301498,0.3774587564926551,-1,0,0,6.0804430385550905,6.0804430385550905,0.28175759456223576,0,126285
1787578500,763.49,763.82,762.96,763.36,763.6665509435156,765.1036534941909,765.5128813265989,0,0,,765.6540594505361,0.9598397813680145,-1,1,1,1.559689504138458,6.0804430385550905,0.82767224025549,-1,63219
1787578800,763.38,763.75,762.19,762.19,763.3924265320413,764.5209227953527,765.1964164383513,0,0,,765.5182139818877,1.5488193124575924,-1,1,2,2.7204466842558475,6.0804430385550905,1.3889611857889104,-1,76122
